gemeratopm, max, min, mean, standev
1, 7.000000, 0.000000, 2.852234, 2.096505
2, 7.000000, 0.000000, 4.373333, 1.632500
3, 7.000000, 0.000000, 4.446667, 1.628342
4, 7.000000, 0.000000, 4.570470, 1.467002
5, 7.000000, 0.000000, 4.773333, 1.376440
6, 7.000000, 0.000000, 4.885906, 1.211043
7, 7.000000, 0.000000, 4.748299, 1.209798
8, 8.000000, 0.000000, 4.864865, 1.297033
9, 9.000000, 0.000000, 4.785235, 1.286960
10, 9.000000, 0.000000, 5.073826, 0.945072
11, 7.000000, 0.000000, 4.905405, 1.391607
12, 7.000000, 0.000000, 5.000000, 1.451933
13, 8.000000, 0.000000, 5.107383, 1.263526
14, 9.000000, 0.000000, 5.222973, 1.233440
15, 7.000000, 0.000000, 5.047297, 1.420618
16, 9.000000, 0.000000, 5.241611, 1.348929
17, 8.000000, 0.000000, 5.134228, 1.348962
18, 9.000000, 0.000000, 5.342282, 1.018556
19, 8.000000, 0.000000, 5.456376, 1.193922
20, 8.000000, 0.000000, 5.353333, 1.099949
21, 8.000000, 0.000000, 5.386667, 1.330018
22, 8.000000, 2.000000, 5.413333, 1.030974
23, 8.000000, 0.000000, 5.266667, 1.156636
24, 9.000000, 0.000000, 4.980000, 1.680804
25, 8.000000, 0.000000, 5.246667, 1.418652
26, 8.000000, 0.000000, 5.426667, 1.018926
27, 8.000000, 0.000000, 5.433333, 1.266060
28, 9.000000, 0.000000, 5.540000, 1.240426
29, 8.000000, 0.000000, 5.260000, 1.266131
30, 8.000000, 0.000000, 5.466667, 1.224288
31, 8.000000, 0.000000, 5.433333, 1.333194
32, 8.000000, 0.000000, 5.333333, 1.334451
33, 9.000000, 0.000000, 5.513333, 1.246400
34, 9.000000, 0.000000, 5.506667, 1.230194
35, 9.000000, 0.000000, 5.373333, 1.449585
36, 9.000000, 0.000000, 5.486667, 1.629166
37, 9.000000, 0.000000, 5.473333, 1.570263
38, 9.000000, 0.000000, 5.526667, 1.565983
39, 9.000000, 0.000000, 5.600000, 1.479162
40, 10.000000, 0.000000, 5.486667, 1.561864
41, 9.000000, 0.000000, 5.493333, 1.505010
42, 9.000000, 0.000000, 5.886667, 1.358724
43, 8.000000, 0.000000, 5.613333, 1.579171
44, 9.000000, 0.000000, 5.306667, 1.722129
45, 9.000000, 0.000000, 5.726667, 1.609104
46, 8.000000, 0.000000, 5.586667, 1.542188
47, 9.000000, 0.000000, 5.453333, 1.708984
48, 11.000000, 0.000000, 5.953333, 1.529735
49, 9.000000, 0.000000, 5.646667, 1.580658
50, 8.000000, 0.000000, 5.586667, 1.321920
51, 9.000000, 0.000000, 5.686667, 1.290838
52, 9.000000, 0.000000, 5.546667, 1.526441
53, 9.000000, 1.000000, 5.806667, 1.213441
54, 9.000000, 0.000000, 5.533333, 1.557259
55, 10.000000, 0.000000, 5.360000, 1.606530
56, 9.000000, 0.000000, 5.520000, 1.384090
57, 9.000000, 0.000000, 5.833333, 1.281865
58, 9.000000, 0.000000, 5.693333, 1.375464
59, 9.000000, 2.000000, 5.546667, 1.144503
60, 9.000000, 0.000000, 5.566667, 1.206340
61, 9.000000, 0.000000, 5.313333, 1.528857
62, 8.000000, 0.000000, 5.693333, 1.220335
63, 8.000000, 0.000000, 5.613333, 1.197238
64, 9.000000, 0.000000, 5.473333, 1.364441
65, 9.000000, 0.000000, 5.673333, 1.426013
66, 9.000000, 0.000000, 5.513333, 1.455084
67, 9.000000, 0.000000, 5.693333, 1.545492
68, 9.000000, 0.000000, 5.673333, 1.472325
69, 9.000000, 4.000000, 5.806667, 1.179789
70, 9.000000, 0.000000, 5.666667, 1.288393
71, 9.000000, 0.000000, 5.640000, 1.243938
72, 9.000000, 4.000000, 5.693333, 1.152451
73, 9.000000, 0.000000, 5.433333, 1.392293
74, 9.000000, 0.000000, 5.686667, 1.141862
75, 9.000000, 0.000000, 5.553333, 1.454162
76, 9.000000, 0.000000, 5.480000, 1.531416
77, 9.000000, 0.000000, 5.780000, 1.340490
78, 9.000000, 0.000000, 5.673333, 1.303051
79, 9.000000, 4.000000, 5.793333, 1.070010
80, 10.000000, 0.000000, 5.740000, 1.387528
81, 9.000000, 2.000000, 5.800000, 1.135161
82, 9.000000, 0.000000, 5.713333, 1.401517
83, 9.000000, 0.000000, 5.640000, 1.332505
84, 9.000000, 0.000000, 5.546667, 1.499828
85, 9.000000, 0.000000, 5.726667, 1.350599
86, 9.000000, 0.000000, 5.680000, 1.572925
87, 9.000000, 0.000000, 5.473333, 1.574532
88, 9.000000, 2.000000, 5.966667, 1.338218
89, 9.000000, 0.000000, 5.880000, 1.385059
90, 9.000000, 0.000000, 5.920000, 1.373381
91, 9.000000, 0.000000, 5.820000, 1.470379
92, 9.000000, 0.000000, 5.766667, 1.387464
93, 9.000000, 0.000000, 5.866667, 1.283173
94, 10.000000, 0.000000, 5.833333, 1.416190
95, 9.000000, 4.000000, 5.966667, 1.228393
96, 9.000000, 0.000000, 5.686667, 1.734516
97, 9.000000, 2.000000, 5.853333, 1.206174
98, 9.000000, 0.000000, 5.800000, 1.356070
99, 9.000000, 0.000000, 5.740000, 1.516929
100, 9.000000, 0.000000, 5.766667, 1.276618
