gemeratopm, max, min, mean, standev
1, 0.044444, 0.000000, 0.016837, 0.021597
2, 0.088889, 0.000000, 0.035361, 0.018778
3, 0.088889, 0.000000, 0.035556, 0.023189
4, 0.088889, 0.000000, 0.037584, 0.024629
5, 0.088889, 0.000000, 0.045926, 0.032328
6, 0.133333, 0.000000, 0.054054, 0.034598
7, 0.133333, 0.000000, 0.058050, 0.040831
8, 0.133333, 0.000000, 0.068168, 0.038242
9, 0.133333, 0.000000, 0.070222, 0.045845
10, 0.133333, 0.000000, 0.073772, 0.049485
11, 0.133333, 0.000000, 0.075495, 0.043787
12, 0.133333, 0.000000, 0.071407, 0.051465
13, 0.133333, 0.000000, 0.073378, 0.050865
14, 0.133333, 0.000000, 0.079279, 0.052495
15, 0.133333, 0.000000, 0.073973, 0.053811
16, 0.133333, 0.000000, 0.075375, 0.055511
17, 0.133333, 0.000000, 0.079045, 0.056087
18, 0.133333, 0.000000, 0.084741, 0.057650
19, 0.133333, 0.000000, 0.096000, 0.056190
20, 0.133333, 0.000000, 0.095111, 0.056414
21, 0.133333, 0.000000, 0.093760, 0.058620
22, 0.133333, 0.000000, 0.102908, 0.053962
23, 0.133333, 0.000000, 0.099852, 0.055682
24, 0.133333, 0.000000, 0.107937, 0.049622
25, 0.133333, 0.000000, 0.098732, 0.055609
26, 0.133333, 0.000000, 0.113945, 0.045724
27, 0.133333, 0.000000, 0.098434, 0.055541
28, 0.133333, 0.000000, 0.105295, 0.052269
29, 0.133333, 0.000000, 0.101630, 0.056014
30, 0.133333, 0.000000, 0.105295, 0.050714
31, 0.133333, 0.000000, 0.099852, 0.054963
32, 0.133333, 0.000000, 0.107084, 0.051927
33, 0.133333, 0.000000, 0.111559, 0.047244
34, 0.155556, 0.000000, 0.102131, 0.054407
35, 0.133333, 0.000000, 0.109769, 0.049166
36, 0.155556, 0.000000, 0.104148, 0.059558
37, 0.155556, 0.000000, 0.100152, 0.057254
38, 0.155556, 0.000000, 0.102370, 0.060538
39, 0.155556, 0.000000, 0.110959, 0.050235
40, 0.155556, 0.000000, 0.107830, 0.057030
41, 0.155556, 0.000000, 0.105215, 0.059783
42, 0.155556, 0.000000, 0.108258, 0.055791
43, 0.155556, 0.000000, 0.093778, 0.064307
44, 0.155556, 0.000000, 0.101119, 0.058706
45, 0.155556, 0.000000, 0.103852, 0.062138
46, 0.155556, 0.000000, 0.104308, 0.058772
47, 0.155556, 0.000000, 0.095259, 0.065353
48, 0.155556, 0.000000, 0.111111, 0.058224
49, 0.155556, 0.000000, 0.106963, 0.061972
50, 0.155556, 0.000000, 0.117226, 0.056647
51, 0.155556, 0.000000, 0.110658, 0.064315
52, 0.155556, 0.000000, 0.104913, 0.065787
53, 0.155556, 0.000000, 0.110962, 0.064917
54, 0.155556, 0.000000, 0.115165, 0.066188
55, 0.155556, 0.000000, 0.102370, 0.071065
56, 0.155556, 0.000000, 0.119556, 0.063779
57, 0.155556, 0.000000, 0.112000, 0.066686
58, 0.155556, 0.000000, 0.111565, 0.067547
59, 0.155556, 0.000000, 0.120593, 0.061432
60, 0.155556, 0.000000, 0.118370, 0.061924
61, 0.155556, 0.000000, 0.116817, 0.064704
62, 0.155556, 0.000000, 0.127704, 0.056944
63, 0.155556, 0.000000, 0.109481, 0.067634
64, 0.155556, 0.000000, 0.110360, 0.067663
65, 0.155556, 0.000000, 0.118667, 0.063318
66, 0.155556, 0.000000, 0.112155, 0.065318
67, 0.155556, 0.000000, 0.121551, 0.063201
68, 0.155556, 0.000000, 0.115407, 0.064555
69, 0.155556, 0.000000, 0.120635, 0.063283
70, 0.155556, 0.000000, 0.120060, 0.062048
71, 0.155556, 0.000000, 0.117524, 0.064804
72, 0.155556, 0.000000, 0.103704, 0.071981
73, 0.155556, 0.000000, 0.114989, 0.065999
74, 0.155556, 0.000000, 0.125429, 0.058628
75, 0.155556, 0.000000, 0.126788, 0.058601
76, 0.155556, 0.000000, 0.118121, 0.063911
77, 0.155556, 0.000000, 0.121999, 0.061546
78, 0.155556, 0.000000, 0.116593, 0.062798
79, 0.155556, 0.000000, 0.122831, 0.061440
80, 0.155556, 0.000000, 0.119016, 0.064379
81, 0.155556, 0.000000, 0.124625, 0.060046
82, 0.155556, 0.000000, 0.117037, 0.063257
83, 0.155556, 0.000000, 0.102163, 0.070364
84, 0.155556, 0.000000, 0.120148, 0.063070
85, 0.155556, 0.000000, 0.119259, 0.062612
86, 0.155556, 0.000000, 0.117077, 0.064769
87, 0.155556, 0.000000, 0.120148, 0.061203
88, 0.155556, 0.000000, 0.112774, 0.066671
89, 0.155556, 0.000000, 0.120741, 0.063766
90, 0.155556, 0.000000, 0.114114, 0.067376
91, 0.155556, 0.000000, 0.117868, 0.064054
92, 0.155556, 0.000000, 0.120656, 0.062761
93, 0.155556, 0.000000, 0.122297, 0.061275
94, 0.155556, 0.000000, 0.107233, 0.070828
95, 0.155556, 0.000000, 0.115766, 0.065331
96, 0.155556, 0.000000, 0.110664, 0.067337
97, 0.155556, 0.000000, 0.117568, 0.064711
98, 0.155556, 0.000000, 0.121849, 0.061274
99, 0.155556, 0.000000, 0.119369, 0.061954
100, 0.155556, 0.000000, 0.110667, 0.067603
