gemeratopm, max, min, mean, standev
1, 2350.000000, 1057.000000, 1875.924915, 264.259358
2, 2192.000000, 1080.000000, 1921.892617, 139.976887
3, 2277.000000, 947.000000, 1908.884354, 215.804596
4, 2286.000000, 1191.000000, 1922.613333, 168.723505
5, 2251.000000, 1031.000000, 1924.778523, 193.637194
6, 2249.000000, 1047.000000, 1947.826667, 184.220751
7, 2266.000000, 989.000000, 1926.753333, 197.239572
8, 3259.000000, 1080.000000, 2125.913333, 361.214226
9, 2256.000000, 1085.000000, 1927.686667, 194.548354
10, 2324.000000, 1271.000000, 1939.426667, 116.502346
11, 2221.000000, 964.000000, 1918.673333, 192.344891
12, 2172.000000, 1067.000000, 1924.293333, 190.984892
13, 2470.000000, 1066.000000, 1921.926667, 210.922171
14, 2195.000000, 1108.000000, 1949.773333, 136.158275
15, 2237.000000, 1043.000000, 1944.280000, 181.768978
16, 2279.000000, 989.000000, 1936.770270, 164.003239
17, 2236.000000, 1029.000000, 1939.120000, 193.729761
18, 2308.000000, 1079.000000, 1915.463087, 189.485274
19, 2216.000000, 1300.000000, 1947.832215, 113.482848
20, 2337.000000, 1307.000000, 1945.633333, 114.667504
21, 2288.000000, 994.000000, 1912.953333, 189.162738
22, 2420.000000, 1080.000000, 1937.593333, 194.910756
23, 2331.000000, 1141.000000, 1960.453333, 127.927496
24, 2385.000000, 947.000000, 1924.186667, 207.521371
25, 2376.000000, 1062.000000, 1937.653333, 171.954652
26, 2543.000000, 1068.000000, 1953.180000, 161.355835
27, 2419.000000, 1071.000000, 1937.406667, 191.758275
28, 2453.000000, 1061.000000, 1918.700000, 198.391172
29, 2336.000000, 902.000000, 1929.510067, 221.746618
30, 2393.000000, 1063.000000, 1935.798658, 174.001902
31, 2268.000000, 1162.000000, 1964.600000, 132.407851
32, 3220.000000, 1087.000000, 2124.426667, 336.433751
33, 2331.000000, 1061.000000, 1960.180000, 185.141559
34, 2345.000000, 1071.000000, 1963.633333, 159.750452
35, 2352.000000, 842.000000, 1907.101351, 194.775319
36, 2299.000000, 1025.000000, 1906.953020, 214.925705
37, 2301.000000, 1019.000000, 1899.040000, 199.794387
38, 2211.000000, 1132.000000, 1921.175676, 137.336060
39, 2175.000000, 1081.000000, 1915.000000, 121.525372
40, 2357.000000, 1066.000000, 1917.380000, 182.671182
41, 2226.000000, 1055.000000, 1898.766667, 168.057653
