gemeratopm, max, min, mean, standev
1, 7.000000, 0.000000, 3.657244, 2.240625
2, 7.000000, 0.000000, 5.273333, 1.146320
3, 6.000000, 0.000000, 5.126667, 1.166056
4, 6.000000, 0.000000, 5.263514, 0.935771
5, 8.000000, 0.000000, 5.251701, 1.151792
6, 8.000000, 0.000000, 5.416107, 1.452401
7, 8.000000, 2.000000, 5.577181, 1.060222
8, 8.000000, 0.000000, 5.413333, 1.443275
9, 8.000000, 0.000000, 5.620000, 1.283190
10, 8.000000, 0.000000, 5.600000, 1.451683
11, 8.000000, 0.000000, 5.573333, 1.425307
12, 13.000000, 0.000000, 5.680000, 1.534043
13, 12.000000, 0.000000, 5.833333, 1.731728
14, 13.000000, 0.000000, 5.766667, 1.837041
15, 12.000000, 0.000000, 5.773333, 1.832396
16, 13.000000, 0.000000, 5.640000, 1.904710
17, 12.000000, 0.000000, 5.778523, 1.961954
18, 13.000000, 0.000000, 6.040000, 1.969158
19, 12.000000, 0.000000, 5.960000, 1.927825
20, 13.000000, 0.000000, 6.320000, 2.455838
21, 13.000000, 0.000000, 6.593333, 2.699979
22, 13.000000, 0.000000, 7.086667, 2.741519
23, 13.000000, 1.000000, 7.853333, 2.990784
24, 13.000000, 0.000000, 8.606667, 3.153557
25, 13.000000, 0.000000, 7.860000, 3.409481
26, 13.000000, 0.000000, 8.506667, 3.473286
27, 13.000000, 0.000000, 7.886667, 3.265719
28, 13.000000, 0.000000, 8.666667, 3.097231
29, 13.000000, 1.000000, 7.853333, 3.083593
30, 13.000000, 0.000000, 8.746667, 3.295689
31, 13.000000, 0.000000, 7.980000, 3.213792
32, 13.000000, 0.000000, 8.580000, 3.271332
33, 14.000000, 0.000000, 8.713333, 3.382419
34, 13.000000, 0.000000, 8.513333, 3.442211
35, 13.000000, 0.000000, 7.860000, 3.345898
36, 14.000000, 0.000000, 8.500000, 3.233113
37, 14.000000, 0.000000, 8.133333, 3.097231
38, 13.000000, 0.000000, 7.873333, 3.287758
39, 13.000000, 0.000000, 8.520000, 3.172279
40, 13.000000, 0.000000, 8.126667, 3.302016
41, 13.000000, 3.000000, 8.093333, 3.115983
42, 13.000000, 0.000000, 8.000000, 3.069661
43, 13.000000, 0.000000, 7.800000, 3.123842
44, 13.000000, 4.000000, 8.433333, 3.092352
45, 13.000000, 0.000000, 8.153333, 3.118976
46, 13.000000, 1.000000, 7.746667, 3.141381
47, 13.000000, 0.000000, 8.493333, 3.142578
48, 14.000000, 0.000000, 8.226667, 3.262861
49, 13.000000, 4.000000, 8.326667, 3.017837
50, 14.000000, 0.000000, 8.246667, 3.149383
51, 14.000000, 0.000000, 8.013333, 3.181293
52, 13.000000, 0.000000, 7.806667, 3.127485
53, 13.000000, 0.000000, 8.573333, 3.175719
54, 13.000000, 0.000000, 8.213333, 3.152897
55, 13.000000, 0.000000, 8.026667, 3.080457
56, 14.000000, 0.000000, 8.013333, 3.158002
57, 13.000000, 2.000000, 8.953333, 3.017481
58, 13.000000, 3.000000, 8.613333, 3.121234
59, 14.000000, 4.000000, 8.293333, 3.096971
60, 13.000000, 0.000000, 7.966667, 3.201125
61, 14.000000, 0.000000, 7.706667, 3.300491
62, 13.000000, 0.000000, 8.440000, 3.288132
63, 13.000000, 0.000000, 8.526667, 3.155259
64, 13.000000, 0.000000, 8.413333, 3.089681
65, 13.000000, 0.000000, 8.126667, 3.198776
66, 13.000000, 0.000000, 8.120000, 3.363683
67, 14.000000, 0.000000, 8.153333, 3.239307
68, 13.000000, 0.000000, 8.046667, 3.242620
69, 14.000000, 0.000000, 8.720000, 3.336035
70, 14.000000, 0.000000, 8.520000, 3.286580
71, 13.000000, 0.000000, 8.333333, 3.220460
72, 13.000000, 0.000000, 7.900000, 3.311055
73, 13.000000, 0.000000, 8.926667, 3.187847
74, 14.000000, 0.000000, 8.753333, 3.241792
75, 14.000000, 0.000000, 8.760000, 3.266014
76, 13.000000, 1.000000, 8.546667, 3.236923
77, 13.000000, 2.000000, 8.346667, 3.181293
78, 13.000000, 4.000000, 8.446667, 3.195082
79, 13.000000, 0.000000, 8.220000, 3.110644
80, 13.000000, 0.000000, 8.073333, 3.275077
81, 13.000000, 0.000000, 8.120000, 3.216818
82, 14.000000, 0.000000, 7.933333, 3.392979
83, 13.000000, 4.000000, 9.133333, 3.004843
84, 13.000000, 0.000000, 8.733333, 3.170050
85, 13.000000, 0.000000, 8.353333, 3.409691
86, 14.000000, 0.000000, 8.533333, 3.294630
87, 13.000000, 4.000000, 8.326667, 3.186584
88, 13.000000, 0.000000, 8.280000, 3.185791
89, 13.000000, 0.000000, 7.913333, 3.373678
90, 14.000000, 0.000000, 7.980000, 3.205427
91, 13.000000, 0.000000, 8.933333, 3.004843
92, 13.000000, 1.000000, 8.826667, 3.095237
93, 13.000000, 0.000000, 8.553333, 3.150661
94, 13.000000, 0.000000, 8.493333, 3.294793
95, 14.000000, 0.000000, 8.300000, 3.216464
96, 13.000000, 1.000000, 8.266667, 3.127421
97, 13.000000, 1.000000, 8.240000, 3.249533
98, 14.000000, 0.000000, 8.213333, 3.300573
99, 13.000000, 0.000000, 8.233333, 3.334619
100, 13.000000, 3.000000, 8.006667, 3.152706
