gemeratopm, max, min, mean, standev
1, 1.000000, 0.000000, 0.285714, 0.452524
2, 1.000000, 0.000000, 0.651007, 0.478259
3, 1.000000, 0.000000, 0.651007, 0.478259
4, 1.000000, 0.000000, 0.697987, 0.460680
5, 1.000000, 0.000000, 0.741497, 0.439309
6, 1.000000, 0.000000, 0.746575, 0.436469
7, 1.000000, 0.000000, 0.737931, 0.441284
8, 1.000000, 0.000000, 0.806897, 0.396102
9, 1.000000, 0.000000, 0.779310, 0.416149
10, 1.000000, 0.000000, 0.802721, 0.399305
11, 1.000000, 0.000000, 0.831081, 0.375953
12, 1.000000, 0.000000, 0.841379, 0.366588
13, 1.000000, 0.000000, 0.848276, 0.359997
14, 1.000000, 0.000000, 0.812500, 0.391675
15, 1.000000, 0.000000, 0.828767, 0.378009
16, 1.000000, 0.000000, 0.826389, 0.380097
17, 1.000000, 0.000000, 0.821918, 0.383899
18, 2.000000, 0.000000, 0.868966, 0.358530
19, 3.000000, 0.000000, 0.885906, 0.472632
20, 3.000000, 0.000000, 0.919463, 0.472440
21, 3.000000, 0.000000, 0.993243, 0.501652
22, 3.000000, 0.000000, 0.973154, 0.464210
23, 3.000000, 0.000000, 0.966667, 0.497196
24, 3.000000, 0.000000, 0.973333, 0.517436
25, 2.000000, 0.000000, 1.040000, 0.503411
26, 3.000000, 0.000000, 1.066667, 0.526692
27, 3.000000, 0.000000, 1.113333, 0.498813
28, 3.000000, 0.000000, 1.126667, 0.534660
29, 3.000000, 0.000000, 1.100000, 0.552602
30, 2.000000, 0.000000, 1.080000, 0.426001
31, 3.000000, 0.000000, 1.140000, 0.463862
32, 3.000000, 0.000000, 1.246667, 0.601304
33, 3.000000, 0.000000, 1.173333, 0.527711
34, 3.000000, 0.000000, 1.086667, 0.476800
35, 3.000000, 0.000000, 1.133333, 0.500559
36, 3.000000, 0.000000, 1.100000, 0.488114
37, 3.000000, 0.000000, 1.120000, 0.517090
38, 3.000000, 0.000000, 1.093333, 0.547682
39, 3.000000, 0.000000, 1.066667, 0.458575
40, 3.000000, 0.000000, 1.126667, 0.559202
41, 3.000000, 0.000000, 1.166667, 0.560640
42, 3.000000, 0.000000, 1.086667, 0.447764
43, 3.000000, 0.000000, 1.093333, 0.453867
44, 3.000000, 0.000000, 1.093333, 0.571665
45, 3.000000, 0.000000, 1.226667, 0.545225
46, 3.000000, 0.000000, 1.266667, 0.551589
47, 3.000000, 0.000000, 1.306667, 0.566950
48, 3.000000, 0.000000, 1.306667, 0.665009
49, 3.000000, 0.000000, 1.340000, 0.632774
50, 3.000000, 0.000000, 1.373333, 0.746775
51, 3.000000, 0.000000, 1.553333, 0.690653
52, 3.000000, 0.000000, 1.593333, 0.742720
53, 3.000000, 0.000000, 1.566667, 0.689486
54, 3.000000, 0.000000, 1.580000, 0.813230
55, 3.000000, 0.000000, 1.573333, 0.813862
56, 3.000000, 0.000000, 1.726667, 0.713218
57, 3.000000, 0.000000, 1.720000, 0.760784
58, 3.000000, 0.000000, 1.686667, 0.752059
59, 3.000000, 0.000000, 1.786667, 0.691139
60, 3.000000, 0.000000, 1.753333, 0.785239
61, 3.000000, 0.000000, 1.813333, 0.736276
62, 3.000000, 0.000000, 1.846667, 0.692594
63, 3.000000, 0.000000, 1.664430, 0.776433
64, 4.000000, 0.000000, 1.763514, 0.683742
65, 4.000000, 0.000000, 1.886667, 0.901428
66, 4.000000, 0.000000, 1.960000, 1.041939
67, 4.000000, 0.000000, 2.206667, 1.188856
68, 4.000000, 0.000000, 2.633333, 1.211891
69, 4.000000, 0.000000, 2.720000, 1.210247
70, 4.000000, 0.000000, 2.744966, 1.279539
71, 4.000000, 0.000000, 2.918919, 1.280484
72, 4.000000, 0.000000, 3.040541, 1.222679
73, 4.000000, 0.000000, 3.150685, 1.164666
74, 4.000000, 0.000000, 3.061644, 1.266124
75, 4.000000, 0.000000, 3.068493, 1.273916
76, 4.000000, 0.000000, 3.109589, 1.232454
77, 4.000000, 0.000000, 3.328767, 0.990365
78, 4.000000, 0.000000, 3.303448, 1.094964
79, 4.000000, 0.000000, 3.082192, 1.320955
80, 4.000000, 0.000000, 3.128378, 1.305563
81, 4.000000, 0.000000, 3.236486, 1.236417
82, 4.000000, 0.000000, 3.238095, 1.234955
83, 4.000000, 0.000000, 3.315436, 1.157159
84, 4.000000, 0.000000, 3.317568, 1.160795
85, 4.000000, 0.000000, 3.212329, 1.232933
86, 4.000000, 0.000000, 3.224490, 1.254012
87, 4.000000, 0.000000, 3.337838, 1.181225
88, 4.000000, 0.000000, 3.412162, 1.112263
89, 4.000000, 0.000000, 3.404110, 1.123902
90, 4.000000, 0.000000, 3.445205, 1.138849
91, 4.000000, 0.000000, 3.331034, 1.213667
92, 4.000000, 0.000000, 3.406897, 1.163666
93, 4.000000, 0.000000, 3.469388, 1.118378
94, 4.000000, 0.000000, 3.496552, 1.087327
95, 4.000000, 0.000000, 3.354167, 1.242987
96, 4.000000, 0.000000, 3.541667, 1.043629
97, 4.000000, 0.000000, 3.455172, 1.142483
98, 4.000000, 0.000000, 3.397260, 1.188911
99, 4.000000, 0.000000, 3.361111, 1.271589
100, 4.000000, 0.000000, 3.618056, 0.946074
