gemeratopm, max, min, mean, standev
1, 3.000000, 0.000000, 1.628472, 1.024519
2, 3.000000, 0.000000, 2.180000, 0.777796
3, 3.000000, 1.000000, 2.266667, 0.691916
4, 3.000000, 0.000000, 2.260000, 0.736671
5, 3.000000, 0.000000, 2.220000, 0.758575
6, 3.000000, 0.000000, 2.213333, 0.738097
7, 3.000000, 0.000000, 2.173333, 0.792131
8, 3.000000, 1.000000, 2.206667, 0.698000
9, 3.000000, 0.000000, 2.180000, 0.742479
10, 3.000000, 0.000000, 2.200000, 0.768508
11, 3.000000, 0.000000, 2.233333, 0.689486
12, 3.000000, 0.000000, 2.253333, 0.725255
13, 3.000000, 0.000000, 2.206667, 0.688317
14, 3.000000, 0.000000, 2.213333, 0.728948
15, 3.000000, 1.000000, 2.326667, 0.690265
16, 3.000000, 0.000000, 2.226667, 0.795513
17, 3.000000, 1.000000, 2.273333, 0.694143
18, 3.000000, 0.000000, 2.273333, 0.703745
19, 3.000000, 1.000000, 2.340000, 0.673865
20, 3.000000, 0.000000, 2.280000, 0.705872
21, 3.000000, 0.000000, 2.306667, 0.704222
22, 3.000000, 0.000000, 2.273333, 0.767605
23, 3.000000, 0.000000, 2.360000, 0.726119
24, 3.000000, 0.000000, 2.320000, 0.707771
25, 3.000000, 0.000000, 2.326667, 0.680472
26, 3.000000, 0.000000, 2.380000, 0.701580
27, 3.000000, 1.000000, 2.320000, 0.658654
28, 3.000000, 1.000000, 2.406667, 0.646069
29, 3.000000, 1.000000, 2.366667, 0.659639
30, 3.000000, 0.000000, 2.326667, 0.709444
31, 3.000000, 0.000000, 2.386667, 0.663392
32, 3.000000, 0.000000, 2.426667, 0.648661
33, 3.000000, 0.000000, 2.426667, 0.627626
34, 3.000000, 0.000000, 2.413333, 0.667427
35, 3.000000, 0.000000, 2.366667, 0.638966
36, 3.000000, 0.000000, 2.380000, 0.672270
37, 3.000000, 0.000000, 2.306667, 0.704222
38, 3.000000, 0.000000, 2.380000, 0.682180
39, 3.000000, 1.000000, 2.480000, 0.609984
40, 3.000000, 0.000000, 2.313333, 0.666924
41, 3.000000, 0.000000, 2.353333, 0.666924
42, 3.000000, 1.000000, 2.386667, 0.632314
43, 3.000000, 0.000000, 2.380000, 0.672270
44, 3.000000, 1.000000, 2.420000, 0.605013
45, 3.000000, 0.000000, 2.393333, 0.622796
46, 3.000000, 1.000000, 2.453333, 0.619446
47, 3.000000, 0.000000, 2.433333, 0.689486
48, 3.000000, 0.000000, 2.440000, 0.639631
49, 3.000000, 0.000000, 2.406667, 0.656375
50, 3.000000, 1.000000, 2.433333, 0.606637
51, 3.000000, 1.000000, 2.446667, 0.585469
52, 3.000000, 1.000000, 2.480000, 0.587567
53, 3.000000, 1.000000, 2.500000, 0.564617
54, 3.000000, 0.000000, 2.480000, 0.609984
55, 3.000000, 1.000000, 2.466667, 0.586957
56, 3.000000, 1.000000, 2.493333, 0.576342
57, 3.000000, 0.000000, 2.500000, 0.599216
58, 3.000000, 0.000000, 2.520000, 0.587567
59, 3.000000, 0.000000, 2.486667, 0.652683
60, 3.000000, 0.000000, 2.466667, 0.586957
61, 3.000000, 1.000000, 2.506667, 0.552562
62, 3.000000, 1.000000, 2.553333, 0.537664
63, 3.000000, 0.000000, 2.566667, 0.560640
64, 3.000000, 1.000000, 2.606667, 0.503633
65, 3.000000, 1.000000, 2.586667, 0.533277
66, 3.000000, 0.000000, 2.606667, 0.554381
67, 3.000000, 1.000000, 2.593333, 0.506292
68, 3.000000, 0.000000, 2.546667, 0.574476
69, 3.000000, 0.000000, 2.533333, 0.575410
70, 3.000000, 1.000000, 2.480000, 0.539948
71, 3.000000, 1.000000, 2.553333, 0.512091
72, 3.000000, 1.000000, 2.526667, 0.527075
73, 3.000000, 0.000000, 2.446667, 0.573891
74, 3.000000, 1.000000, 2.453333, 0.538288
75, 3.000000, 1.000000, 2.553333, 0.537664
76, 3.000000, 1.000000, 2.560000, 0.549313
77, 3.000000, 0.000000, 2.486667, 0.587757
78, 3.000000, 1.000000, 2.473333, 0.563982
79, 3.000000, 1.000000, 2.500000, 0.552602
80, 3.000000, 1.000000, 2.513333, 0.540155
81, 3.000000, 0.000000, 2.540000, 0.563188
82, 3.000000, 1.000000, 2.560000, 0.536956
83, 3.000000, 1.000000, 2.546667, 0.538288
84, 3.000000, 0.000000, 2.560000, 0.549313
85, 3.000000, 0.000000, 2.526667, 0.563982
86, 3.000000, 1.000000, 2.500000, 0.540321
87, 3.000000, 1.000000, 2.546667, 0.538288
88, 3.000000, 1.000000, 2.520000, 0.527372
89, 3.000000, 0.000000, 2.460000, 0.608993
90, 3.000000, 1.000000, 2.506667, 0.527711
91, 3.000000, 0.000000, 2.526667, 0.551954
92, 3.000000, 1.000000, 2.486667, 0.527584
93, 3.000000, 1.000000, 2.506667, 0.564577
94, 3.000000, 1.000000, 2.480000, 0.564260
95, 3.000000, 1.000000, 2.500000, 0.564617
96, 3.000000, 0.000000, 2.413333, 0.569784
97, 3.000000, 2.000000, 2.520000, 0.501274
98, 3.000000, 0.000000, 2.546667, 0.538288
99, 3.000000, 1.000000, 2.486667, 0.527584
100, 3.000000, 1.000000, 2.480000, 0.514488
