gemeratopm, max, min, mean, standev
1, 1.333333, 0.000000, 0.294653, 0.379284
2, 1.000000, 0.000000, 0.595078, 0.341265
3, 1.333333, 0.000000, 0.622222, 0.351128
4, 1.666667, 0.000000, 0.655481, 0.343135
5, 1.333333, 0.000000, 0.662222, 0.343224
6, 1.666667, 0.000000, 0.648889, 0.347113
7, 1.333333, 0.000000, 0.611111, 0.346317
8, 1.333333, 0.000000, 0.617778, 0.346252
9, 1.333333, 0.000000, 0.660000, 0.357032
10, 1.333333, 0.000000, 0.657718, 0.357137
11, 1.333333, 0.000000, 0.637778, 0.351701
12, 1.333333, 0.000000, 0.673333, 0.352830
13, 1.333333, 0.000000, 0.648889, 0.363894
14, 1.333333, 0.000000, 0.711111, 0.348998
15, 1.333333, 0.000000, 0.671111, 0.386164
16, 1.333333, 0.000000, 0.700000, 0.393364
17, 1.333333, 0.000000, 0.744444, 0.385062
18, 1.333333, 0.000000, 0.742222, 0.388397
19, 1.666667, 0.000000, 0.748889, 0.389911
20, 1.666667, 0.000000, 0.726667, 0.395859
21, 1.666667, 0.000000, 0.715556, 0.407584
22, 1.333333, 0.000000, 0.726667, 0.410652
23, 1.333333, 0.000000, 0.744966, 0.395905
24, 1.333333, 0.000000, 0.700000, 0.406418
25, 1.666667, 0.000000, 0.748889, 0.422938
26, 1.333333, 0.000000, 0.780000, 0.417424
27, 1.666667, 0.000000, 0.744444, 0.435927
28, 1.333333, 0.000000, 0.768889, 0.403095
29, 1.333333, 0.000000, 0.756152, 0.398252
30, 1.333333, 0.000000, 0.711111, 0.409919
31, 1.333333, 0.000000, 0.742222, 0.425066
32, 1.333333, 0.000000, 0.682222, 0.420107
33, 1.333333, 0.000000, 0.782222, 0.424785
34, 1.333333, 0.000000, 0.762222, 0.428891
35, 1.333333, 0.000000, 0.757778, 0.440149
36, 1.333333, 0.000000, 0.731111, 0.432975
37, 1.333333, 0.000000, 0.757778, 0.436747
38, 1.333333, 0.000000, 0.791946, 0.407284
39, 1.333333, 0.000000, 0.778523, 0.414835
40, 1.333333, 0.000000, 0.704698, 0.414689
41, 1.333333, 0.000000, 0.766667, 0.420840
42, 1.333333, 0.000000, 0.800000, 0.412338
43, 1.333333, 0.000000, 0.753333, 0.429053
44, 1.333333, 0.000000, 0.704444, 0.432699
45, 1.333333, 0.000000, 0.726667, 0.412464
46, 2.000000, 0.000000, 0.746667, 0.432946
47, 1.333333, 0.000000, 0.702222, 0.423308
48, 1.333333, 0.000000, 0.675556, 0.410428
49, 1.333333, 0.000000, 0.735556, 0.418257
50, 1.333333, 0.000000, 0.722222, 0.400255
51, 1.333333, 0.000000, 0.726667, 0.407004
52, 1.666667, 0.000000, 0.677778, 0.422020
53, 1.333333, 0.000000, 0.653333, 0.378150
54, 1.333333, 0.000000, 0.628889, 0.385294
55, 1.666667, 0.000000, 0.617778, 0.386936
56, 1.333333, 0.000000, 0.675556, 0.397507
57, 1.333333, 0.000000, 0.624444, 0.401891
58, 1.333333, 0.000000, 0.702222, 0.416202
59, 1.333333, 0.000000, 0.706667, 0.412193
60, 2.000000, 0.000000, 0.651111, 0.423643
61, 1.333333, 0.000000, 0.693333, 0.405995
62, 1.666667, 0.000000, 0.684444, 0.399079
63, 1.333333, 0.000000, 0.677778, 0.413091
64, 1.333333, 0.000000, 0.688889, 0.406265
65, 2.000000, 0.000000, 0.768889, 0.441924
66, 2.000000, 0.000000, 0.835556, 0.433061
67, 2.000000, 0.000000, 0.917778, 0.446941
68, 1.666667, 0.333333, 1.024444, 0.403373
69, 2.000000, 0.000000, 0.980000, 0.430441
70, 2.000000, 0.000000, 0.940000, 0.424931
71, 2.000000, 0.000000, 1.068889, 0.366975
72, 2.000000, 0.000000, 1.013333, 0.387885
73, 2.000000, 0.000000, 0.962222, 0.427498
74, 2.000000, 0.000000, 1.093333, 0.352090
75, 1.666667, 0.000000, 1.057778, 0.344871
76, 2.333333, 0.000000, 1.004444, 0.399453
77, 1.666667, 0.000000, 0.920000, 0.408120
78, 2.000000, 0.000000, 1.102222, 0.311228
79, 1.333333, 0.000000, 0.997778, 0.339971
80, 2.000000, 0.000000, 1.046667, 0.372488
81, 2.333333, 0.000000, 1.022222, 0.406265
82, 1.666667, 0.000000, 0.960000, 0.378229
83, 2.000000, 0.000000, 1.028889, 0.384131
84, 2.000000, 0.000000, 0.993333, 0.423877
85, 2.000000, 0.000000, 0.991111, 0.380248
86, 2.000000, 0.000000, 0.942222, 0.402725
87, 2.000000, 0.000000, 1.026667, 0.357137
88, 2.333333, 0.000000, 1.124444, 0.328934
89, 2.000000, 0.000000, 1.060000, 0.378525
90, 2.000000, 0.333333, 1.046667, 0.345483
91, 2.000000, 0.000000, 1.017778, 0.363894
92, 2.000000, 0.000000, 0.975556, 0.382497
93, 2.000000, 0.000000, 1.042222, 0.375015
94, 2.000000, 0.000000, 1.057778, 0.353415
95, 2.000000, 0.000000, 0.997778, 0.379365
96, 2.333333, 0.000000, 1.102222, 0.362168
97, 1.666667, 0.000000, 1.051111, 0.363791
98, 1.666667, 0.333333, 1.040000, 0.332033
99, 2.000000, 0.000000, 1.020000, 0.345915
100, 1.666667, 0.000000, 1.075556, 0.339203
