gemeratopm, max, min, mean, standev
1, 14.000000, 0.000000, 8.062718, 3.353774
2, 17.000000, 0.000000, 10.080000, 3.633402
3, 17.000000, 0.000000, 10.453333, 3.679412
4, 15.000000, 1.000000, 10.540000, 3.575889
5, 20.000000, 0.000000, 10.724832, 3.739596
6, 16.000000, 4.000000, 11.193333, 3.389080
7, 15.000000, 4.000000, 10.966443, 3.393985
8, 16.000000, 4.000000, 11.146667, 3.372583
9, 16.000000, 5.000000, 12.195946, 2.530518
10, 15.000000, 2.000000, 11.795918, 2.900021
11, 15.000000, 3.000000, 12.020134, 2.710016
12, 14.000000, 0.000000, 12.162162, 2.690508
13, 17.000000, 3.000000, 12.312925, 2.779087
14, 15.000000, 4.000000, 12.326531, 2.537832
15, 16.000000, 5.000000, 12.610738, 2.398511
16, 15.000000, 0.000000, 12.301370, 2.752729
17, 15.000000, 0.000000, 12.445946, 2.606334
18, 16.000000, 0.000000, 12.414966, 2.716877
19, 16.000000, 4.000000, 12.102740, 2.781043
20, 15.000000, 0.000000, 12.074830, 3.045519
21, 15.000000, 4.000000, 12.222973, 2.806264
22, 16.000000, 4.000000, 12.418919, 2.501737
23, 16.000000, 3.000000, 12.204082, 2.709544
24, 16.000000, 0.000000, 11.910345, 3.126760
25, 16.000000, 4.000000, 12.217687, 2.824834
26, 16.000000, 4.000000, 12.190476, 2.970940
27, 16.000000, 0.000000, 11.868056, 3.307644
28, 16.000000, 2.000000, 11.445946, 3.460730
29, 17.000000, 0.000000, 12.073333, 3.136913
30, 17.000000, 0.000000, 12.108844, 3.034345
31, 16.000000, 0.000000, 11.782313, 3.574102
32, 16.000000, 0.000000, 12.328859, 2.909544
33, 16.000000, 0.000000, 11.972789, 3.302024
34, 17.000000, 0.000000, 12.171233, 3.076854
35, 16.000000, 0.000000, 12.530612, 2.848470
36, 16.000000, 5.000000, 12.748299, 2.281082
37, 16.000000, 0.000000, 12.380952, 3.050563
38, 16.000000, 0.000000, 12.358108, 2.932367
39, 16.000000, 0.000000, 12.689189, 2.387186
40, 17.000000, 0.000000, 12.517007, 2.790281
41, 16.000000, 1.000000, 12.374150, 3.061495
42, 16.000000, 0.000000, 12.619048, 2.687702
43, 15.000000, 0.000000, 12.557823, 2.648673
44, 17.000000, 3.000000, 12.410959, 2.851911
45, 15.000000, 0.000000, 12.571429, 2.697030
46, 14.000000, 3.000000, 12.565517, 2.568002
47, 15.000000, 0.000000, 12.696552, 2.574782
48, 15.000000, 0.000000, 12.698630, 2.624473
49, 15.000000, 4.000000, 13.013889, 2.196584
50, 16.000000, 0.000000, 12.648276, 2.737423
51, 15.000000, 4.000000, 12.506849, 2.848464
52, 15.000000, 0.000000, 12.741497, 2.712448
53, 17.000000, 2.000000, 12.773973, 2.431887
54, 18.000000, 4.000000, 12.700680, 2.494967
55, 16.000000, 0.000000, 12.530612, 2.797519
56, 16.000000, 4.000000, 12.675676, 2.561399
57, 17.000000, 4.000000, 12.493243, 2.798193
58, 15.000000, 2.000000, 12.297297, 3.047156
59, 15.000000, 4.000000, 12.547297, 2.593384
60, 15.000000, 4.000000, 12.418919, 2.806730
61, 16.000000, 0.000000, 12.659864, 2.677907
62, 15.000000, 4.000000, 12.891156, 2.221098
63, 16.000000, 0.000000, 12.567568, 2.775407
64, 16.000000, 2.000000, 12.966216, 2.304729
65, 16.000000, 0.000000, 12.746575, 2.693060
66, 16.000000, 4.000000, 12.506849, 2.681344
67, 16.000000, 4.000000, 12.664384, 2.549584
68, 16.000000, 3.000000, 12.301370, 2.944006
69, 16.000000, 0.000000, 12.598639, 2.675766
70, 16.000000, 0.000000, 12.103448, 3.322324
71, 16.000000, 0.000000, 12.550336, 2.709932
72, 18.000000, 0.000000, 12.255034, 3.190260
73, 15.000000, 0.000000, 12.653061, 2.624054
74, 16.000000, 4.000000, 12.201389, 3.096535
75, 16.000000, 3.000000, 12.219178, 3.088339
76, 16.000000, 0.000000, 12.513699, 2.941349
77, 16.000000, 4.000000, 12.613793, 2.614559
78, 17.000000, 4.000000, 12.693878, 2.573874
79, 16.000000, 1.000000, 12.438356, 2.871915
80, 16.000000, 0.000000, 12.455782, 2.919540
81, 16.000000, 4.000000, 12.850340, 2.393924
82, 14.000000, 4.000000, 12.625000, 2.417521
83, 17.000000, 5.000000, 12.678082, 2.482865
84, 15.000000, 0.000000, 12.294521, 2.836141
85, 15.000000, 4.000000, 12.344595, 2.791417
86, 17.000000, 0.000000, 12.517007, 2.651838
87, 15.000000, 3.000000, 12.319728, 2.696996
88, 15.000000, 4.000000, 12.624161, 2.456312
89, 16.000000, 2.000000, 12.353333, 2.974470
90, 15.000000, 4.000000, 12.560000, 2.680979
91, 15.000000, 0.000000, 12.201342, 3.053531
92, 14.000000, 5.000000, 12.439189, 2.548112
93, 16.000000, 4.000000, 12.404110, 2.705241
94, 15.000000, 0.000000, 12.251701, 2.981320
95, 15.000000, 0.000000, 12.312925, 2.939580
96, 17.000000, 4.000000, 11.904110, 3.020228
97, 16.000000, 4.000000, 11.780822, 3.165532
98, 18.000000, 0.000000, 12.189189, 2.942421
99, 15.000000, 4.000000, 11.979310, 3.024137
100, 15.000000, 4.000000, 12.160000, 2.868669
