gemeratopm, max, min, mean, standev
0, 4.000000, 4.000000, 4.000000, 0.000000
1, 4.000000, 4.000000, 4.000000, 0.000000
2, 5.000000, 5.000000, 5.000000, 0.000000
3, 4.000000, 4.000000, 4.000000, 0.000000
4, 2.000000, 2.000000, 2.000000, 0.000000
5, 5.000000, 5.000000, 5.000000, 0.000000
6, 4.000000, 4.000000, 4.000000, 0.000000
7, 6.000000, 6.000000, 6.000000, 0.000000
8, 2.000000, 2.000000, 2.000000, 0.000000
9, 0.000000, 0.000000, 0.000000, 0.000000
10, 2.000000, 2.000000, 2.000000, 0.000000
11, 6.000000, 6.000000, 6.000000, 0.000000
12, 2.000000, 2.000000, 2.000000, 0.000000
13, 0.000000, 0.000000, 0.000000, 0.000000
14, 2.000000, 2.000000, 2.000000, 0.000000
15, 4.000000, 4.000000, 4.000000, 0.000000
16, 4.000000, 4.000000, 4.000000, 0.000000
17, 4.000000, 4.000000, 4.000000, 0.000000
18, 3.000000, 3.000000, 3.000000, 0.000000
19, 5.000000, 5.000000, 5.000000, 0.000000
