gemeratopm, max, min, mean, standev
0, 11.000000, 11.000000, 11.000000, 0.000000
1, 11.000000, 11.000000, 11.000000, 0.000000
2, 10.000000, 10.000000, 10.000000, 0.000000
3, 11.000000, 11.000000, 11.000000, 0.000000
4, 14.000000, 14.000000, 14.000000, 0.000000
5, 8.000000, 8.000000, 8.000000, 0.000000
6, 13.000000, 13.000000, 13.000000, 0.000000
7, 11.000000, 11.000000, 11.000000, 0.000000
8, 14.000000, 14.000000, 14.000000, 0.000000
9, 14.000000, 14.000000, 14.000000, 0.000000
10, 14.000000, 14.000000, 14.000000, 0.000000
11, 13.000000, 13.000000, 13.000000, 0.000000
12, 7.000000, 7.000000, 7.000000, 0.000000
13, 13.000000, 13.000000, 13.000000, 0.000000
14, 15.000000, 15.000000, 15.000000, 0.000000
15, 12.000000, 12.000000, 12.000000, 0.000000
16, 12.000000, 12.000000, 12.000000, 0.000000
17, 11.000000, 11.000000, 11.000000, 0.000000
18, 11.000000, 11.000000, 11.000000, 0.000000
19, 10.000000, 10.000000, 10.000000, 0.000000
