gemeratopm, max, min, mean, standev
1, 0.088889, 0.000000, 0.027469, 0.021947
2, 0.088889, 0.000000, 0.042667, 0.013506
3, 0.088889, 0.000000, 0.047704, 0.019333
4, 0.088889, 0.000000, 0.048677, 0.021657
5, 0.133333, 0.000000, 0.053630, 0.024314
6, 0.133333, 0.000000, 0.059704, 0.029030
7, 0.133333, 0.000000, 0.069333, 0.033163
8, 0.133333, 0.000000, 0.072000, 0.030753
9, 0.133333, 0.000000, 0.073975, 0.032517
10, 0.133333, 0.000000, 0.072185, 0.036707
11, 0.133333, 0.000000, 0.076741, 0.037450
12, 0.133333, 0.000000, 0.082074, 0.038786
13, 0.133333, 0.000000, 0.092148, 0.038221
14, 0.133333, 0.000000, 0.087704, 0.040527
15, 0.133333, 0.000000, 0.098667, 0.041152
16, 0.133333, 0.000000, 0.106963, 0.037521
17, 0.133333, 0.000000, 0.112774, 0.032181
18, 0.133333, 0.000000, 0.116331, 0.036386
19, 0.133333, 0.000000, 0.115259, 0.038909
20, 0.133333, 0.000000, 0.117914, 0.035530
21, 0.133333, 0.000000, 0.111728, 0.039678
22, 0.133333, 0.000000, 0.117823, 0.036139
23, 0.133333, 0.000000, 0.116444, 0.035552
24, 0.133333, 0.000000, 0.118216, 0.033910
25, 0.133333, 0.000000, 0.113889, 0.037800
26, 0.133333, 0.000000, 0.112453, 0.040864
27, 0.133333, 0.000000, 0.114074, 0.037280
28, 0.133333, 0.000000, 0.112633, 0.037699
29, 0.133333, 0.000000, 0.114064, 0.038602
30, 0.133333, 0.000000, 0.119911, 0.032963
31, 0.133333, 0.000000, 0.107556, 0.044969
32, 0.133333, 0.000000, 0.115616, 0.035061
33, 0.133333, 0.000000, 0.120244, 0.031822
34, 0.133333, 0.000000, 0.116148, 0.037055
35, 0.133333, 0.000000, 0.115015, 0.037358
36, 0.133333, 0.000000, 0.109568, 0.040684
37, 0.133333, 0.000000, 0.117524, 0.033513
38, 0.133333, 0.000000, 0.121185, 0.029534
39, 0.133333, 0.000000, 0.109769, 0.041189
40, 0.177778, 0.000000, 0.114588, 0.037843
41, 0.133333, 0.000000, 0.119612, 0.033443
42, 0.133333, 0.000000, 0.121021, 0.031027
43, 0.133333, 0.000000, 0.119426, 0.032818
44, 0.133333, 0.000000, 0.117914, 0.035530
45, 0.177778, 0.000000, 0.122751, 0.027689
46, 0.177778, 0.000000, 0.120244, 0.033895
47, 0.177778, 0.000000, 0.126682, 0.024038
48, 0.177778, 0.000000, 0.124925, 0.025582
49, 0.177778, 0.000000, 0.124024, 0.032063
50, 0.177778, 0.000000, 0.123192, 0.034705
51, 0.177778, 0.000000, 0.116629, 0.037427
52, 0.177778, 0.000000, 0.126126, 0.030252
53, 0.177778, 0.000000, 0.124625, 0.033056
54, 0.177778, 0.000000, 0.125826, 0.036062
55, 0.177778, 0.000000, 0.127964, 0.033845
56, 0.177778, 0.000000, 0.119704, 0.042756
57, 0.177778, 0.000000, 0.122963, 0.043515
58, 0.177778, 0.000000, 0.126175, 0.035445
59, 0.177778, 0.000000, 0.124868, 0.035408
60, 0.177778, 0.000000, 0.132733, 0.033989
61, 0.177778, 0.000000, 0.130931, 0.036209
62, 0.177778, 0.000000, 0.132132, 0.039802
63, 0.177778, 0.000000, 0.132426, 0.035076
64, 0.177778, 0.000000, 0.131202, 0.041210
65, 0.177778, 0.000000, 0.138074, 0.035356
66, 0.177778, 0.000000, 0.135736, 0.037305
67, 0.177778, 0.000000, 0.136637, 0.040850
68, 0.177778, 0.000000, 0.134240, 0.041114
69, 0.177778, 0.000000, 0.136614, 0.039717
70, 0.177778, 0.000000, 0.136000, 0.041268
71, 0.177778, 0.000000, 0.130370, 0.045960
72, 0.177778, 0.000000, 0.137778, 0.040134
73, 0.177778, 0.000000, 0.133926, 0.040866
74, 0.177778, 0.000000, 0.132444, 0.043531
75, 0.200000, 0.000000, 0.137037, 0.040904
76, 0.177778, 0.000000, 0.139597, 0.031008
77, 0.177778, 0.000000, 0.134825, 0.040159
78, 0.177778, 0.000000, 0.132593, 0.042959
79, 0.177778, 0.000000, 0.139259, 0.031602
80, 0.177778, 0.000000, 0.132737, 0.040677
81, 0.177778, 0.000000, 0.133333, 0.041332
82, 0.177778, 0.000000, 0.139640, 0.031538
83, 0.177778, 0.000000, 0.132132, 0.041778
84, 0.177778, 0.000000, 0.133934, 0.041468
85, 0.177778, 0.000000, 0.134228, 0.041484
86, 0.177778, 0.000000, 0.141333, 0.030056
87, 0.177778, 0.000000, 0.132737, 0.041650
88, 0.177778, 0.000000, 0.130947, 0.038241
89, 0.177778, 0.000000, 0.133333, 0.041008
90, 0.177778, 0.000000, 0.140444, 0.034954
91, 0.177778, 0.000000, 0.139556, 0.034935
92, 0.177778, 0.000000, 0.133630, 0.038704
93, 0.177778, 0.000000, 0.134222, 0.041345
94, 0.177778, 0.000000, 0.132444, 0.041345
95, 0.177778, 0.000000, 0.130963, 0.044231
96, 0.177778, 0.000000, 0.133333, 0.038316
97, 0.177778, 0.000000, 0.135435, 0.041257
98, 0.177778, 0.000000, 0.136593, 0.043722
99, 0.177778, 0.000000, 0.138963, 0.041926
100, 0.177778, 0.000000, 0.139597, 0.040027
