gemeratopm, max, min, mean, standev
1, 18.000000, 0.000000, 9.498270, 2.240915
2, 18.000000, 5.000000, 10.093960, 2.125591
3, 18.000000, 0.000000, 10.445946, 2.792809
4, 18.000000, 4.000000, 10.386667, 2.844485
5, 19.000000, 2.000000, 10.580000, 2.931591
6, 19.000000, 6.000000, 10.906667, 2.857574
7, 21.000000, 4.000000, 11.060000, 3.100617
8, 25.000000, 4.000000, 11.380000, 3.288520
9, 19.000000, 5.000000, 11.160000, 2.921983
10, 18.000000, 6.000000, 11.241611, 2.903053
11, 26.000000, 5.000000, 10.820000, 2.868646
12, 18.000000, 1.000000, 10.860000, 2.905745
13, 18.000000, 4.000000, 10.838926, 2.988869
14, 19.000000, 6.000000, 11.040541, 2.747611
15, 19.000000, 6.000000, 11.406667, 2.727185
16, 18.000000, 6.000000, 11.033333, 2.542040
17, 18.000000, 6.000000, 11.006667, 2.483494
18, 18.000000, 6.000000, 10.812081, 2.442222
19, 17.000000, 6.000000, 10.866667, 2.298721
20, 18.000000, 3.000000, 10.833333, 2.645540
21, 18.000000, 2.000000, 10.740000, 2.581374
22, 17.000000, 0.000000, 10.993333, 2.617691
23, 19.000000, 6.000000, 10.973333, 2.524901
24, 19.000000, 5.000000, 10.826667, 2.711513
25, 20.000000, 6.000000, 11.006667, 2.948089
26, 19.000000, 6.000000, 10.793333, 2.303475
27, 20.000000, 0.000000, 11.053333, 2.846844
28, 19.000000, 6.000000, 11.413333, 2.949660
29, 22.000000, 6.000000, 11.300000, 2.872573
30, 19.000000, 6.000000, 11.513333, 3.116823
31, 18.000000, 0.000000, 10.713333, 2.961354
32, 18.000000, 5.000000, 11.046667, 2.652937
33, 18.000000, 6.000000, 11.093333, 2.652963
34, 18.000000, 5.000000, 10.993333, 2.888293
35, 19.000000, 5.000000, 11.113333, 3.035664
36, 21.000000, 6.000000, 10.993333, 2.796202
37, 19.000000, 6.000000, 10.706667, 2.723368
38, 18.000000, 6.000000, 10.913333, 2.677113
39, 18.000000, 6.000000, 11.120000, 2.987491
40, 20.000000, 6.000000, 11.006667, 2.824858
41, 19.000000, 5.000000, 11.006667, 2.831976
42, 18.000000, 6.000000, 11.201342, 2.772890
43, 18.000000, 5.000000, 10.940000, 2.852598
44, 19.000000, 6.000000, 11.340000, 3.123477
45, 18.000000, 6.000000, 11.060000, 2.831344
46, 19.000000, 5.000000, 11.380000, 3.049194
47, 19.000000, 6.000000, 11.440000, 2.862580
48, 18.000000, 6.000000, 11.320000, 2.810145
49, 19.000000, 6.000000, 11.446667, 3.059887
50, 18.000000, 5.000000, 11.060000, 3.076715
51, 18.000000, 4.000000, 11.393333, 3.020948
52, 18.000000, 5.000000, 11.180000, 3.115387
53, 18.000000, 6.000000, 10.786667, 2.592158
54, 18.000000, 6.000000, 10.940000, 2.793160
55, 18.000000, 6.000000, 11.040268, 2.703549
56, 18.000000, 5.000000, 10.880000, 2.656940
57, 18.000000, 6.000000, 11.086667, 2.613688
58, 19.000000, 0.000000, 11.293333, 3.017948
59, 18.000000, 6.000000, 11.369128, 2.633847
60, 18.000000, 6.000000, 10.840000, 2.152196
61, 18.000000, 6.000000, 11.386667, 2.716558
62, 18.000000, 6.000000, 11.273333, 2.636595
63, 18.000000, 6.000000, 11.193333, 2.563808
64, 18.000000, 2.000000, 11.086667, 2.761034
65, 22.000000, 5.000000, 11.067114, 2.839548
66, 20.000000, 6.000000, 11.080000, 2.725766
67, 19.000000, 5.000000, 11.100000, 2.686656
68, 20.000000, 5.000000, 10.953333, 2.712973
69, 18.000000, 6.000000, 11.140000, 2.780638
70, 18.000000, 6.000000, 11.140000, 2.766118
71, 19.000000, 6.000000, 10.913333, 2.656982
72, 19.000000, 6.000000, 11.133333, 2.723664
73, 18.000000, 6.000000, 11.100000, 2.718937
74, 19.000000, 6.000000, 10.886667, 2.437230
75, 18.000000, 4.000000, 11.006711, 2.534883
76, 18.000000, 5.000000, 10.600000, 2.506368
77, 19.000000, 6.000000, 10.893333, 2.282547
78, 20.000000, 6.000000, 11.093333, 2.762031
79, 18.000000, 6.000000, 11.100000, 2.671626
80, 19.000000, 5.000000, 10.893333, 2.677640
81, 19.000000, 5.000000, 11.273333, 2.896183
82, 18.000000, 4.000000, 11.200000, 2.782978
83, 19.000000, 7.000000, 11.333333, 2.681447
84, 17.000000, 5.000000, 10.780000, 2.418802
85, 18.000000, 1.000000, 10.940000, 2.645066
86, 19.000000, 6.000000, 10.932886, 2.540654
87, 19.000000, 6.000000, 11.213333, 2.750440
88, 18.000000, 5.000000, 11.053333, 2.716558
89, 18.000000, 6.000000, 10.873333, 2.536437
90, 18.000000, 5.000000, 10.613333, 2.200630
91, 19.000000, 6.000000, 10.953333, 2.720385
92, 18.000000, 7.000000, 10.853333, 2.520751
93, 18.000000, 6.000000, 11.060000, 2.812317
94, 19.000000, 6.000000, 11.266667, 2.815744
95, 19.000000, 6.000000, 10.886667, 2.518486
96, 21.000000, 6.000000, 10.613333, 2.532438
97, 19.000000, 6.000000, 11.040000, 2.809094
98, 18.000000, 6.000000, 11.153333, 2.454243
99, 18.000000, 6.000000, 11.220000, 2.636527
100, 18.000000, 6.000000, 10.680000, 2.380908
