gemeratopm, max, min, mean, standev
1, 1.000000, 0.000000, 0.003390, 0.058222
2, 1.000000, 0.000000, 0.020000, 0.140469
3, 1.000000, 0.000000, 0.146667, 0.354958
4, 1.000000, 0.000000, 0.209459, 0.408305
5, 1.000000, 0.000000, 0.244898, 0.431497
6, 1.000000, 0.000000, 0.282759, 0.451901
7, 1.000000, 0.000000, 0.346939, 0.477623
8, 1.000000, 0.000000, 0.513333, 0.501497
9, 1.000000, 0.000000, 0.766667, 0.424370
10, 1.000000, 0.000000, 0.726667, 0.447164
11, 1.000000, 0.000000, 0.714286, 0.453298
12, 1.000000, 0.000000, 0.804054, 0.398275
13, 1.000000, 0.000000, 0.766667, 0.424370
14, 1.000000, 0.000000, 0.628378, 0.484879
15, 1.000000, 0.000000, 0.804054, 0.398275
16, 1.000000, 0.000000, 0.786667, 0.411034
17, 1.000000, 0.000000, 0.721088, 0.449997
18, 1.000000, 0.000000, 0.859060, 0.349133
19, 1.000000, 0.000000, 0.766667, 0.424370
20, 1.000000, 0.000000, 0.729730, 0.445607
21, 1.000000, 0.000000, 0.695946, 0.461568
22, 1.000000, 0.000000, 0.858108, 0.350124
23, 1.000000, 0.000000, 0.733333, 0.443698
24, 1.000000, 0.000000, 0.753425, 0.432501
25, 1.000000, 0.000000, 0.816327, 0.388541
26, 1.000000, 0.000000, 0.806667, 0.396235
27, 1.000000, 0.000000, 0.746575, 0.436469
28, 1.000000, 0.000000, 0.710345, 0.455175
29, 1.000000, 0.000000, 0.844595, 0.363521
30, 1.000000, 0.000000, 0.785235, 0.412044
31, 1.000000, 0.000000, 0.795918, 0.404407
32, 1.000000, 0.000000, 0.755245, 0.431453
33, 1.000000, 0.000000, 0.797297, 0.403378
34, 1.000000, 0.000000, 0.771812, 0.421080
35, 1.000000, 0.000000, 0.758389, 0.429503
36, 1.000000, 0.000000, 0.731544, 0.444651
37, 1.000000, 0.000000, 0.851351, 0.356950
38, 1.000000, 0.000000, 0.838926, 0.368839
39, 1.000000, 0.000000, 0.775510, 0.418672
40, 1.000000, 0.000000, 0.760274, 0.428386
41, 1.000000, 0.000000, 0.675862, 0.469674
42, 1.000000, 0.000000, 0.805369, 0.397252
43, 1.000000, 0.000000, 0.753333, 0.432515
44, 1.000000, 0.000000, 0.729730, 0.445607
45, 1.000000, 0.000000, 0.812081, 0.391965
46, 1.000000, 0.000000, 0.813333, 0.390949
47, 1.000000, 0.000000, 0.755102, 0.431497
48, 1.000000, 0.000000, 0.673611, 0.470528
49, 1.000000, 0.000000, 0.818792, 0.386490
50, 1.000000, 0.000000, 0.778523, 0.416641
51, 1.000000, 0.000000, 0.739726, 0.440294
52, 1.000000, 0.000000, 0.724832, 0.448105
53, 2.000000, 0.000000, 0.726667, 0.461929
54, 1.000000, 0.000000, 0.641892, 0.481072
55, 2.000000, 0.000000, 0.832215, 0.392543
56, 1.000000, 0.000000, 0.746667, 0.436377
57, 1.000000, 0.000000, 0.729730, 0.445607
58, 1.000000, 0.000000, 0.798658, 0.402356
59, 2.000000, 0.000000, 0.760000, 0.443900
60, 1.000000, 0.000000, 0.736486, 0.442034
61, 1.000000, 0.000000, 0.707483, 0.456474
62, 1.000000, 0.000000, 0.740000, 0.440104
63, 1.000000, 0.000000, 0.666667, 0.472984
64, 1.000000, 0.000000, 0.637584, 0.482319
65, 1.000000, 0.000000, 0.853333, 0.354958
66, 1.000000, 0.000000, 0.753333, 0.432515
67, 1.000000, 0.000000, 0.684564, 0.466257
68, 1.000000, 0.000000, 0.785235, 0.412044
69, 1.000000, 0.000000, 0.718121, 0.451432
70, 1.000000, 0.000000, 0.677852, 0.468875
71, 1.000000, 0.000000, 0.782313, 0.414084
72, 2.000000, 0.000000, 0.726667, 0.461929
73, 1.000000, 0.000000, 0.653061, 0.477623
74, 1.000000, 0.000000, 0.702703, 0.458621
75, 1.000000, 0.000000, 0.726667, 0.447164
76, 1.000000, 0.000000, 0.840000, 0.367834
77, 1.000000, 0.000000, 0.780000, 0.415634
78, 1.000000, 0.000000, 0.755102, 0.431497
79, 1.000000, 0.000000, 0.744966, 0.437350
80, 1.000000, 0.000000, 0.706667, 0.456815
81, 1.000000, 0.000000, 0.673469, 0.470547
82, 1.000000, 0.000000, 0.763514, 0.426367
83, 1.000000, 0.000000, 0.753333, 0.432515
84, 1.000000, 0.000000, 0.682432, 0.467111
85, 2.000000, 0.000000, 0.785235, 0.428129
86, 1.000000, 0.000000, 0.778523, 0.416641
87, 1.000000, 0.000000, 0.668966, 0.472217
88, 1.000000, 0.000000, 0.852349, 0.355950
89, 2.000000, 0.000000, 0.773333, 0.435762
90, 1.000000, 0.000000, 0.763514, 0.426367
91, 1.000000, 0.000000, 0.756757, 0.430498
92, 1.000000, 0.000000, 0.686667, 0.465403
93, 1.000000, 0.000000, 0.668919, 0.472200
94, 1.000000, 0.000000, 0.805369, 0.397252
95, 1.000000, 0.000000, 0.684564, 0.466257
96, 1.000000, 0.000000, 0.886667, 0.318062
97, 1.000000, 0.000000, 0.820000, 0.385475
98, 2.000000, 0.000000, 0.833333, 0.391464
99, 1.000000, 0.000000, 0.810811, 0.392989
100, 1.000000, 0.000000, 0.840000, 0.367834
