gemeratopm, max, min, mean, standev
1, 8.000000, 0.000000, 4.274306, 1.973103
2, 8.000000, 0.000000, 5.146667, 1.507862
3, 7.000000, 0.000000, 5.160000, 1.331498
4, 8.000000, 0.000000, 5.328859, 1.342864
5, 7.000000, 0.000000, 5.222973, 1.354363
6, 7.000000, 0.000000, 5.281879, 1.409814
7, 8.000000, 0.000000, 5.429530, 1.192630
8, 7.000000, 0.000000, 5.292517, 1.405522
9, 8.000000, 0.000000, 5.506757, 1.121810
10, 8.000000, 0.000000, 5.557047, 1.387115
11, 8.000000, 0.000000, 5.520270, 1.477586
12, 7.000000, 3.000000, 5.751678, 0.992581
13, 7.000000, 0.000000, 5.604027, 1.408559
14, 8.000000, 0.000000, 5.771812, 1.040535
15, 8.000000, 0.000000, 5.733333, 1.246023
16, 7.000000, 0.000000, 5.646667, 1.296027
17, 8.000000, 0.000000, 5.606667, 1.247261
18, 7.000000, 0.000000, 5.566667, 1.172485
19, 8.000000, 0.000000, 5.686667, 1.331783
20, 8.000000, 0.000000, 5.666667, 1.251397
21, 8.000000, 1.000000, 5.753333, 1.146554
22, 12.000000, 0.000000, 5.706667, 1.318667
23, 13.000000, 0.000000, 5.946667, 1.838392
24, 12.000000, 0.000000, 5.873333, 1.627353
25, 12.000000, 0.000000, 5.786667, 2.106515
26, 13.000000, 0.000000, 6.213333, 2.395708
27, 13.000000, 0.000000, 6.136054, 2.112064
28, 12.000000, 0.000000, 6.182432, 2.321263
29, 12.000000, 0.000000, 6.686667, 2.598752
30, 13.000000, 1.000000, 7.413333, 2.781016
31, 13.000000, 0.000000, 7.706667, 3.122868
32, 13.000000, 4.000000, 8.706667, 2.911552
33, 13.000000, 0.000000, 8.286667, 3.008571
34, 13.000000, 0.000000, 8.420000, 3.035075
35, 13.000000, 0.000000, 8.413333, 2.967806
36, 13.000000, 0.000000, 8.146667, 3.143944
37, 13.000000, 0.000000, 7.840000, 3.168808
38, 13.000000, 0.000000, 8.433333, 3.279828
39, 13.000000, 4.000000, 8.373333, 3.002341
40, 12.000000, 0.000000, 7.873333, 3.061553
41, 13.000000, 4.000000, 7.966667, 2.986360
42, 12.000000, 0.000000, 7.646667, 2.919816
43, 12.000000, 0.000000, 8.446667, 3.020149
44, 13.000000, 0.000000, 8.273333, 3.227185
45, 13.000000, 4.000000, 8.266667, 3.068932
46, 13.000000, 0.000000, 8.233333, 3.139736
47, 12.000000, 0.000000, 7.600000, 3.052120
48, 13.000000, 0.000000, 8.646667, 3.023702
49, 13.000000, 0.000000, 8.360000, 2.995029
50, 13.000000, 0.000000, 7.913333, 3.193821
51, 13.000000, 0.000000, 7.780000, 3.071563
52, 13.000000, 0.000000, 7.713333, 3.039641
53, 12.000000, 0.000000, 7.626667, 2.952752
54, 13.000000, 0.000000, 8.440000, 3.259431
55, 13.000000, 0.000000, 8.166667, 3.068385
56, 13.000000, 0.000000, 8.426667, 3.035244
57, 13.000000, 0.000000, 7.973333, 3.065168
58, 12.000000, 0.000000, 7.733333, 2.953025
59, 12.000000, 0.000000, 7.820000, 3.136856
60, 14.000000, 0.000000, 7.886667, 3.046698
61, 13.000000, 0.000000, 7.613333, 2.948749
62, 14.000000, 4.000000, 8.133333, 2.895650
63, 13.000000, 0.000000, 8.926667, 2.969864
64, 13.000000, 0.000000, 8.493333, 3.146846
65, 13.000000, 4.000000, 8.386667, 3.116931
66, 14.000000, 0.000000, 7.813333, 3.131110
67, 12.000000, 1.000000, 8.160000, 3.056690
68, 13.000000, 0.000000, 7.713333, 3.068210
69, 13.000000, 0.000000, 8.560000, 3.261490
70, 13.000000, 4.000000, 8.593333, 2.949455
71, 13.000000, 0.000000, 8.080000, 3.192945
72, 13.000000, 4.000000, 8.160000, 3.016910
73, 12.000000, 0.000000, 7.946667, 3.203996
74, 16.000000, 0.000000, 8.166667, 3.322522
75, 12.000000, 0.000000, 7.613333, 3.214453
76, 13.000000, 0.000000, 8.686667, 3.183718
77, 13.000000, 0.000000, 8.700000, 3.224799
78, 13.000000, 0.000000, 8.646667, 3.091744
79, 13.000000, 0.000000, 8.466667, 3.112363
80, 13.000000, 0.000000, 8.066667, 3.097231
81, 13.000000, 1.000000, 8.220000, 3.029763
82, 13.000000, 4.000000, 8.306667, 3.036571
83, 13.000000, 4.000000, 8.346667, 3.045487
84, 13.000000, 0.000000, 8.046667, 3.068210
85, 13.000000, 0.000000, 7.973333, 3.003235
86, 13.000000, 0.000000, 7.906667, 3.055080
87, 12.000000, 0.000000, 8.113333, 3.051101
88, 13.000000, 0.000000, 8.153333, 3.178655
89, 13.000000, 4.000000, 8.106667, 2.942735
90, 13.000000, 0.000000, 8.220000, 2.971611
91, 13.000000, 0.000000, 8.313333, 2.990223
92, 13.000000, 0.000000, 8.153333, 2.969050
93, 14.000000, 0.000000, 8.073333, 2.919724
94, 12.000000, 1.000000, 8.226667, 2.929019
95, 12.000000, 0.000000, 7.886667, 3.029024
96, 12.000000, 1.000000, 7.786667, 2.975485
97, 13.000000, 0.000000, 8.106667, 3.001446
98, 13.000000, 0.000000, 7.700000, 2.851468
99, 13.000000, 0.000000, 8.873333, 3.030708
100, 12.000000, 4.000000, 8.606667, 2.982942
