gemeratopm, max, min, mean, standev
1, 1.333333, 0.000000, 0.762399, 0.322248
2, 1.000000, 0.000000, 0.844444, 0.290713
3, 1.666667, 0.000000, 0.868009, 0.278937
4, 1.666667, 0.000000, 0.874720, 0.286001
5, 1.333333, 0.000000, 0.895556, 0.253644
6, 1.333333, 0.000000, 0.895556, 0.267941
7, 1.333333, 0.000000, 0.880000, 0.292282
8, 1.333333, 0.000000, 0.917778, 0.264580
9, 1.333333, 0.333333, 0.920000, 0.252297
10, 1.666667, 0.333333, 0.928889, 0.257871
11, 1.666667, 0.333333, 0.922222, 0.268719
12, 1.666667, 0.000000, 0.926667, 0.255791
13, 1.666667, 0.000000, 0.946309, 0.260131
14, 1.666667, 0.333333, 0.940000, 0.250488
15, 1.333333, 0.000000, 0.928889, 0.246032
16, 2.000000, 0.000000, 0.944444, 0.260260
17, 1.333333, 0.000000, 0.926667, 0.246890
18, 1.333333, 0.333333, 0.955556, 0.203132
19, 1.333333, 0.000000, 0.915556, 0.256712
20, 1.333333, 0.000000, 0.926667, 0.255791
21, 1.333333, 0.000000, 0.924444, 0.235375
22, 1.333333, 0.000000, 0.922222, 0.242460
23, 1.333333, 0.333333, 0.920000, 0.233892
24, 1.333333, 0.333333, 0.913333, 0.229872
25, 1.333333, 0.000000, 0.875556, 0.279945
26, 1.333333, 0.000000, 0.895556, 0.267941
27, 1.333333, 0.000000, 0.891111, 0.271699
28, 1.333333, 0.333333, 0.913333, 0.242501
29, 1.333333, 0.333333, 0.911111, 0.249284
30, 1.333333, 0.333333, 0.928889, 0.230380
31, 1.333333, 0.333333, 0.940000, 0.218701
32, 1.333333, 0.000000, 0.942222, 0.227645
33, 1.333333, 0.000000, 0.917778, 0.258882
34, 1.333333, 0.333333, 0.942222, 0.210630
35, 1.333333, 0.000000, 0.960000, 0.218189
36, 1.333333, 0.000000, 0.973333, 0.195093
37, 1.333333, 0.000000, 0.966667, 0.195970
38, 1.333333, 0.000000, 0.962222, 0.223646
39, 1.666667, 0.000000, 0.977778, 0.199427
40, 1.333333, 0.000000, 0.955556, 0.227382
41, 1.333333, 0.333333, 0.973333, 0.202593
42, 1.333333, 0.000000, 0.975556, 0.204705
43, 1.333333, 0.000000, 0.948889, 0.207023
44, 1.333333, 0.000000, 0.955556, 0.210346
45, 1.333333, 0.000000, 0.955556, 0.217321
46, 1.333333, 0.000000, 0.960000, 0.228212
47, 1.333333, 0.333333, 0.995556, 0.163786
48, 1.333333, 0.000000, 0.966667, 0.227655
49, 1.333333, 0.333333, 1.013333, 0.167804
50, 1.333333, 0.000000, 0.982222, 0.203572
51, 1.333333, 0.000000, 0.984444, 0.209173
52, 2.000000, 0.000000, 0.997778, 0.179055
53, 2.333333, 0.333333, 1.013333, 0.188720
54, 1.666667, 0.000000, 0.995556, 0.189141
55, 1.333333, 0.000000, 1.002222, 0.206157
56, 1.333333, 0.333333, 0.986667, 0.196464
57, 1.666667, 0.000000, 0.975556, 0.204705
58, 1.666667, 0.333333, 0.973333, 0.206241
59, 1.333333, 0.333333, 0.986667, 0.158667
60, 1.333333, 0.333333, 0.975556, 0.211865
61, 1.333333, 0.333333, 0.986667, 0.203914
62, 1.333333, 0.333333, 1.008889, 0.144223
63, 1.333333, 0.000000, 1.002222, 0.166091
64, 1.333333, 0.000000, 0.973333, 0.223590
65, 1.333333, 0.000000, 0.997778, 0.198791
66, 1.333333, 0.000000, 0.982222, 0.207203
67, 1.333333, 0.000000, 0.984444, 0.222978
68, 1.333333, 0.000000, 1.006667, 0.194901
69, 1.333333, 0.000000, 0.975556, 0.225505
70, 1.333333, 0.333333, 1.017778, 0.167388
71, 1.333333, 0.000000, 0.968889, 0.239147
72, 1.333333, 0.000000, 1.000000, 0.211525
73, 1.333333, 0.000000, 0.980000, 0.208793
74, 1.333333, 0.333333, 1.013333, 0.188720
75, 1.333333, 0.000000, 0.980000, 0.244949
76, 1.333333, 0.000000, 1.000000, 0.204352
77, 1.333333, 0.333333, 1.002222, 0.187199
78, 1.333333, 0.000000, 0.988889, 0.194697
79, 1.333333, 0.333333, 1.040000, 0.127618
80, 1.333333, 0.000000, 1.002222, 0.202507
81, 1.333333, 0.000000, 0.982222, 0.221131
82, 1.333333, 0.333333, 1.017778, 0.143394
83, 1.666667, 0.000000, 0.997778, 0.179055
84, 1.333333, 0.333333, 1.028889, 0.149255
85, 1.333333, 0.000000, 1.015556, 0.165372
86, 1.333333, 0.000000, 1.000000, 0.221849
87, 1.333333, 0.000000, 1.000000, 0.225185
88, 1.333333, 0.000000, 0.975556, 0.222174
89, 1.333333, 0.000000, 1.011111, 0.186880
90, 1.333333, 0.333333, 1.006667, 0.202409
91, 1.333333, 0.333333, 1.015556, 0.201917
92, 1.333333, 0.333333, 1.013333, 0.188720
93, 1.333333, 0.333333, 0.993333, 0.216645
94, 1.333333, 0.000000, 0.953333, 0.250369
95, 2.333333, 0.333333, 1.015556, 0.242214
96, 1.333333, 0.000000, 0.980000, 0.250964
97, 1.333333, 0.000000, 0.960000, 0.240928
98, 1.333333, 0.000000, 0.993333, 0.236397
99, 1.333333, 0.000000, 0.980000, 0.238783
100, 1.333333, 0.000000, 0.973333, 0.230164
