gemeratopm, max, min, mean, standev
1, 9.000000, 0.000000, 2.851724, 1.392794
2, 9.000000, 1.000000, 3.826667, 1.389059
3, 11.000000, 1.000000, 4.067114, 1.869616
4, 9.000000, 0.000000, 4.187919, 1.970626
5, 9.000000, 1.000000, 4.213333, 1.891651
6, 10.000000, 0.000000, 4.586667, 2.207938
7, 11.000000, 0.000000, 4.886667, 2.169145
8, 11.000000, 2.000000, 5.100000, 2.230809
9, 10.000000, 0.000000, 5.326667, 2.353055
10, 9.000000, 1.000000, 6.013423, 2.482334
11, 11.000000, 1.000000, 5.980000, 2.609919
12, 11.000000, 0.000000, 6.493333, 2.618332
13, 11.000000, 1.000000, 6.526667, 2.502875
14, 11.000000, 0.000000, 6.953333, 2.488461
15, 10.000000, 0.000000, 6.660000, 2.561538
16, 11.000000, 0.000000, 6.750000, 2.457461
17, 10.000000, 1.000000, 7.020134, 2.431410
18, 11.000000, 0.000000, 6.566667, 2.695800
19, 11.000000, 1.000000, 6.700000, 2.527035
20, 10.000000, 0.000000, 6.886667, 2.381519
21, 11.000000, 0.000000, 6.580000, 2.557447
22, 11.000000, 1.000000, 6.536913, 2.734967
23, 11.000000, 1.000000, 6.380000, 2.755519
24, 10.000000, 0.000000, 7.126667, 2.560140
25, 12.000000, 0.000000, 6.753333, 2.616254
26, 10.000000, 1.000000, 6.812081, 2.531876
27, 11.000000, 0.000000, 6.479730, 2.763882
28, 10.000000, 1.000000, 6.771812, 2.547179
29, 10.000000, 0.000000, 6.530201, 2.754743
30, 10.000000, 1.000000, 6.993333, 2.558042
31, 11.000000, 1.000000, 6.880000, 2.559153
32, 11.000000, 1.000000, 6.806667, 2.610502
33, 10.000000, 2.000000, 6.540000, 2.521398
34, 11.000000, 1.000000, 6.993289, 2.603264
35, 10.000000, 0.000000, 7.080000, 2.480853
36, 11.000000, 0.000000, 6.900000, 2.519055
37, 11.000000, 1.000000, 6.100000, 2.699117
38, 10.000000, 0.000000, 6.600000, 2.669741
39, 10.000000, 0.000000, 6.826667, 2.542911
40, 11.000000, 0.000000, 6.304054, 2.863466
41, 10.000000, 1.000000, 7.053333, 2.426882
42, 10.000000, 1.000000, 6.646667, 2.400047
43, 10.000000, 1.000000, 6.221477, 2.598975
44, 11.000000, 1.000000, 6.720000, 2.707484
45, 10.000000, 1.000000, 6.846667, 2.502983
46, 11.000000, 1.000000, 6.837838, 2.605734
47, 11.000000, 1.000000, 7.066667, 2.518833
48, 11.000000, 1.000000, 7.146667, 2.552500
49, 10.000000, 1.000000, 7.261745, 2.299812
50, 11.000000, 1.000000, 6.864865, 2.583697
51, 11.000000, 0.000000, 6.820000, 2.739397
52, 11.000000, 1.000000, 7.120000, 2.585245
53, 11.000000, 1.000000, 6.610738, 2.834897
54, 11.000000, 1.000000, 7.393333, 2.484574
55, 10.000000, 1.000000, 6.840000, 2.580464
56, 11.000000, 1.000000, 6.800000, 2.471312
57, 11.000000, 1.000000, 7.633333, 2.309643
58, 11.000000, 1.000000, 7.126667, 2.477541
59, 10.000000, 0.000000, 7.208054, 2.436422
60, 11.000000, 0.000000, 7.240000, 2.373455
61, 11.000000, 1.000000, 6.972973, 2.509698
62, 11.000000, 0.000000, 7.473333, 2.287100
63, 10.000000, 2.000000, 7.466667, 2.242562
64, 10.000000, 1.000000, 7.120805, 2.421505
65, 11.000000, 0.000000, 7.000000, 2.767225
66, 10.000000, 1.000000, 6.965986, 2.439445
67, 11.000000, 1.000000, 7.214765, 2.445525
68, 11.000000, 1.000000, 6.960000, 2.535334
69, 11.000000, 0.000000, 6.891892, 2.618966
70, 11.000000, 1.000000, 7.288591, 2.472266
71, 10.000000, 0.000000, 7.420000, 2.504412
72, 10.000000, 1.000000, 6.958904, 2.499315
73, 11.000000, 1.000000, 6.940000, 2.588643
74, 11.000000, 1.000000, 7.053333, 2.543017
75, 10.000000, 1.000000, 7.229730, 2.291940
76, 11.000000, 0.000000, 6.503448, 2.761652
77, 10.000000, 1.000000, 7.326667, 2.378586
78, 11.000000, 1.000000, 7.293333, 2.324502
79, 10.000000, 1.000000, 7.189189, 2.385761
80, 10.000000, 1.000000, 6.858108, 2.552870
81, 11.000000, 1.000000, 7.480000, 2.373568
82, 11.000000, 1.000000, 7.340000, 2.331086
83, 11.000000, 1.000000, 7.503356, 2.364216
84, 11.000000, 0.000000, 7.195946, 2.484397
85, 11.000000, 0.000000, 6.797297, 2.657193
86, 11.000000, 1.000000, 7.713333, 2.143624
87, 11.000000, 1.000000, 6.966667, 2.685823
88, 10.000000, 1.000000, 6.966667, 2.475156
89, 11.000000, 1.000000, 7.513333, 2.307666
90, 11.000000, 1.000000, 7.580000, 2.450229
91, 11.000000, 1.000000, 7.416107, 2.438710
92, 10.000000, 1.000000, 7.321918, 2.351624
93, 10.000000, 1.000000, 6.836735, 2.643267
94, 11.000000, 1.000000, 7.533333, 2.330615
95, 10.000000, 0.000000, 7.133333, 2.464967
96, 11.000000, 0.000000, 7.146667, 2.541961
97, 11.000000, 1.000000, 7.233333, 2.536754
98, 11.000000, 1.000000, 7.297297, 2.307808
99, 11.000000, 0.000000, 6.802721, 2.683382
100, 10.000000, 1.000000, 7.426667, 2.504618
