gemeratopm, max, min, mean, standev
1, 3.000000, 0.000000, 1.660959, 1.168656
2, 3.000000, 0.000000, 2.660000, 0.693498
3, 3.000000, 0.000000, 2.666667, 0.711051
4, 3.000000, 0.000000, 2.646667, 0.752059
5, 3.000000, 0.000000, 2.766667, 0.497196
6, 3.000000, 0.000000, 2.706667, 0.640330
7, 3.000000, 0.000000, 2.673333, 0.680472
8, 3.000000, 0.000000, 2.617450, 0.776316
9, 3.000000, 0.000000, 2.738255, 0.562283
10, 3.000000, 0.000000, 2.648649, 0.745644
11, 3.000000, 0.000000, 2.718121, 0.546247
12, 3.000000, 0.000000, 2.608108, 0.743545
13, 3.000000, 0.000000, 2.604027, 0.685948
14, 3.000000, 0.000000, 2.628378, 0.692824
15, 3.000000, 0.000000, 2.614865, 0.704926
16, 3.000000, 0.000000, 2.612245, 0.676909
17, 3.000000, 0.000000, 2.585034, 0.720003
18, 3.000000, 0.000000, 2.616438, 0.716892
19, 3.000000, 0.000000, 2.541096, 0.743957
20, 3.000000, 0.000000, 2.602740, 0.658938
21, 3.000000, 0.000000, 2.531034, 0.745870
22, 3.000000, 0.000000, 2.568493, 0.732568
23, 3.000000, 0.000000, 2.585034, 0.690875
24, 3.000000, 0.000000, 2.653061, 0.615475
25, 3.000000, 0.000000, 2.583893, 0.698460
26, 3.000000, 0.000000, 2.563758, 0.700600
27, 3.000000, 0.000000, 2.586667, 0.647003
28, 3.000000, 0.000000, 2.560000, 0.718686
29, 3.000000, 0.000000, 2.520000, 0.739309
30, 3.000000, 0.000000, 2.593333, 0.614114
31, 3.000000, 0.000000, 2.440000, 0.814961
32, 3.000000, 0.000000, 2.466667, 0.738824
33, 3.000000, 0.000000, 2.493333, 0.730419
34, 3.000000, 0.000000, 2.573333, 0.627626
35, 3.000000, 0.000000, 2.460000, 0.729346
36, 3.000000, 0.000000, 2.520000, 0.692433
37, 3.000000, 0.000000, 2.600000, 0.579284
38, 3.000000, 0.000000, 2.526667, 0.729960
39, 3.000000, 0.000000, 2.526667, 0.729960
40, 3.000000, 0.000000, 2.546667, 0.710295
41, 3.000000, 0.000000, 2.486667, 0.730327
42, 3.000000, 0.000000, 2.500000, 0.783641
43, 3.000000, 0.000000, 2.506667, 0.757483
44, 3.000000, 0.000000, 2.617450, 0.610685
45, 3.000000, 0.000000, 2.393333, 0.842628
46, 3.000000, 0.000000, 2.533333, 0.682147
47, 3.000000, 0.000000, 2.533333, 0.691916
48, 3.000000, 0.000000, 2.436242, 0.782599
49, 3.000000, 0.000000, 2.473333, 0.757040
50, 3.000000, 0.000000, 2.533333, 0.720427
51, 3.000000, 0.000000, 2.453333, 0.832129
52, 3.000000, 0.000000, 2.553333, 0.737642
53, 3.000000, 0.000000, 2.420000, 0.876770
54, 3.000000, 0.000000, 2.520000, 0.702058
55, 3.000000, 0.000000, 2.513333, 0.711711
56, 3.000000, 0.000000, 2.513333, 0.711711
57, 3.000000, 0.000000, 2.573333, 0.669034
58, 3.000000, 0.000000, 2.520000, 0.702058
59, 3.000000, 0.000000, 2.520000, 0.682671
60, 3.000000, 0.000000, 2.446667, 0.863399
61, 3.000000, 0.000000, 2.420000, 0.884391
62, 3.000000, 0.000000, 2.566667, 0.669736
63, 3.000000, 0.000000, 2.506667, 0.766292
64, 3.000000, 0.000000, 2.560000, 0.699760
65, 3.000000, 0.000000, 2.500000, 0.766321
66, 3.000000, 0.000000, 2.626667, 0.650727
67, 3.000000, 0.000000, 2.550336, 0.730015
68, 3.000000, 0.000000, 2.580000, 0.697743
69, 3.000000, 0.000000, 2.340000, 0.918344
70, 3.000000, 0.000000, 2.523490, 0.722083
71, 3.000000, 0.000000, 2.453333, 0.807570
72, 3.000000, 0.000000, 2.460000, 0.747524
73, 3.000000, 0.000000, 2.506667, 0.775001
74, 3.000000, 0.000000, 2.460000, 0.782613
75, 3.000000, 0.000000, 2.476510, 0.758589
76, 3.000000, 0.000000, 2.513333, 0.711711
77, 3.000000, 0.000000, 2.540000, 0.681786
78, 3.000000, 0.000000, 2.624161, 0.538724
79, 3.000000, 0.000000, 2.473333, 0.791708
80, 3.000000, 0.000000, 2.613333, 0.632314
81, 3.000000, 0.000000, 2.606667, 0.740911
82, 3.000000, 0.000000, 2.653333, 0.723402
83, 3.000000, 0.000000, 2.680000, 0.726488
84, 3.000000, 0.000000, 2.773333, 0.614661
85, 3.000000, 0.000000, 2.826667, 0.444907
86, 3.000000, 0.000000, 2.773333, 0.493538
87, 3.000000, 0.000000, 2.693333, 0.601415
88, 3.000000, 0.000000, 2.760000, 0.575565
89, 3.000000, 0.000000, 2.793333, 0.534660
90, 3.000000, 0.000000, 2.746667, 0.557880
91, 3.000000, 0.000000, 2.800000, 0.518128
92, 3.000000, 0.000000, 2.760000, 0.526862
93, 3.000000, 0.000000, 2.800000, 0.505008
94, 3.000000, 0.000000, 2.773333, 0.656886
95, 3.000000, 0.000000, 2.833333, 0.497196
96, 3.000000, 0.000000, 2.753333, 0.633904
97, 3.000000, 0.000000, 2.826667, 0.610277
98, 3.000000, 0.000000, 2.773333, 0.614661
99, 3.000000, 0.000000, 2.746667, 0.625913
100, 3.000000, 0.000000, 2.753333, 0.554865
