gemeratopm, max, min, mean, standev
1, 2668.000000, 779.000000, 1554.737024, 301.497363
2, 2693.000000, 1007.000000, 1661.226667, 289.540741
3, 2553.000000, 837.000000, 1654.033557, 289.484570
4, 2486.000000, 945.000000, 1638.302013, 276.387695
5, 2596.000000, 839.000000, 1639.533333, 293.540838
6, 2478.000000, 860.000000, 1653.086667, 279.052951
7, 2552.000000, 956.000000, 1669.979730, 287.961979
8, 2519.000000, 834.000000, 1687.617450, 255.549239
9, 2345.000000, 855.000000, 1667.222973, 279.032337
10, 2647.000000, 795.000000, 1662.229730, 281.550834
11, 2299.000000, 809.000000, 1657.033333, 288.195879
12, 2550.000000, 870.000000, 1635.362416, 292.707104
13, 2575.000000, 936.000000, 1670.281879, 305.298704
14, 2506.000000, 858.000000, 1650.409396, 292.834817
15, 2192.000000, 903.000000, 1649.214765, 268.444784
16, 2399.000000, 852.000000, 1666.825503, 292.285836
17, 2876.000000, 1018.000000, 1728.221477, 317.717809
18, 2559.000000, 912.000000, 1742.073333, 306.617968
19, 3045.000000, 878.000000, 1913.785235, 421.129619
20, 2353.000000, 842.000000, 1778.946667, 295.781885
21, 2703.000000, 888.000000, 1796.293333, 297.899302
22, 2464.000000, 915.000000, 1806.818792, 288.001573
23, 2546.000000, 928.000000, 1778.453333, 309.612262
24, 2463.000000, 799.000000, 1758.980000, 311.413523
25, 2382.000000, 899.000000, 1779.260000, 317.639858
26, 2311.000000, 832.000000, 1783.193333, 319.696998
27, 2311.000000, 880.000000, 1791.400000, 342.429594
28, 2345.000000, 876.000000, 1815.640000, 308.296799
29, 2280.000000, 914.000000, 1786.986667, 298.782900
30, 2496.000000, 955.000000, 1803.200000, 292.276669
31, 2316.000000, 912.000000, 1805.733333, 288.691881
32, 2706.000000, 887.000000, 1774.860000, 331.264144
33, 2815.000000, 887.000000, 1806.993333, 305.793928
34, 2481.000000, 917.000000, 1796.560000, 309.819984
35, 2241.000000, 990.000000, 1802.020000, 279.108924
36, 2387.000000, 783.000000, 1788.206667, 294.691200
37, 2342.000000, 775.000000, 1743.340000, 300.094791
38, 2360.000000, 806.000000, 1765.280000, 270.917336
39, 2363.000000, 847.000000, 1761.766667, 302.379077
40, 2530.000000, 923.000000, 1765.986667, 291.361511
41, 2534.000000, 915.000000, 1765.933333, 275.270451
42, 2507.000000, 886.000000, 1813.133333, 222.379767
43, 2540.000000, 834.000000, 1809.353333, 244.162784
44, 2472.000000, 932.000000, 1781.646667, 264.336529
45, 2667.000000, 1044.000000, 1809.553333, 263.548769
46, 3122.000000, 1026.000000, 1968.566667, 411.577966
47, 2435.000000, 1065.000000, 1782.840000, 277.416148
48, 2362.000000, 953.000000, 1754.261745, 293.837710
49, 2541.000000, 1023.000000, 1758.066667, 277.052648
50, 2206.000000, 943.000000, 1744.606667, 259.903697
51, 2378.000000, 889.000000, 1774.946667, 260.647098
52, 2405.000000, 886.000000, 1752.773333, 281.020412
53, 2203.000000, 992.000000, 1759.473333, 241.158827
54, 2380.000000, 851.000000, 1766.113333, 276.205218
55, 2290.000000, 1001.000000, 1771.686667, 247.728449
56, 2396.000000, 923.000000, 1752.033333, 284.111553
