gemeratopm, max, min, mean, standev
0, 6.000000, 6.000000, 6.000000, 0.000000
1, 4.000000, 4.000000, 4.000000, 0.000000
2, 4.000000, 4.000000, 4.000000, 0.000000
3, 2.000000, 2.000000, 2.000000, 0.000000
4, 0.000000, 0.000000, 0.000000, 0.000000
5, 2.000000, 2.000000, 2.000000, 0.000000
6, 0.000000, 0.000000, 0.000000, 0.000000
7, 2.000000, 2.000000, 2.000000, 0.000000
8, 0.000000, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000, 0.000000
10, 2.000000, 2.000000, 2.000000, 0.000000
11, 2.000000, 2.000000, 2.000000, 0.000000
12, 6.000000, 6.000000, 6.000000, 0.000000
13, 4.000000, 4.000000, 4.000000, 0.000000
14, 4.000000, 4.000000, 4.000000, 0.000000
15, 0.000000, 0.000000, 0.000000, 0.000000
16, 4.000000, 4.000000, 4.000000, 0.000000
17, 2.000000, 2.000000, 2.000000, 0.000000
18, 0.000000, 0.000000, 0.000000, 0.000000
19, 0.000000, 0.000000, 0.000000, 0.000000
