gemeratopm, max, min, mean, standev
0, 11.000000, 11.000000, 11.000000, 0.000000
1, 10.000000, 10.000000, 10.000000, 0.000000
2, 15.000000, 15.000000, 15.000000, 0.000000
3, 13.000000, 13.000000, 13.000000, 0.000000
4, 14.000000, 14.000000, 14.000000, 0.000000
5, 10.000000, 10.000000, 10.000000, 0.000000
6, 15.000000, 15.000000, 15.000000, 0.000000
7, 10.000000, 10.000000, 10.000000, 0.000000
8, 15.000000, 15.000000, 15.000000, 0.000000
9, 14.000000, 14.000000, 14.000000, 0.000000
10, 12.000000, 12.000000, 12.000000, 0.000000
11, 13.000000, 13.000000, 13.000000, 0.000000
12, 10.000000, 10.000000, 10.000000, 0.000000
13, 14.000000, 14.000000, 14.000000, 0.000000
14, 13.000000, 13.000000, 13.000000, 0.000000
15, 12.000000, 12.000000, 12.000000, 0.000000
16, 14.000000, 14.000000, 14.000000, 0.000000
17, 12.000000, 12.000000, 12.000000, 0.000000
18, 13.000000, 13.000000, 13.000000, 0.000000
19, 12.000000, 12.000000, 12.000000, 0.000000
