gemeratopm, max, min, mean, standev
0, 6.000000, 6.000000, 6.000000, 0.000000
1, 0.000000, 0.000000, 0.000000, 0.000000
2, 5.000000, 5.000000, 5.000000, 0.000000
3, 6.000000, 6.000000, 6.000000, 0.000000
4, 2.000000, 2.000000, 2.000000, 0.000000
5, 6.000000, 6.000000, 6.000000, 0.000000
6, 2.000000, 2.000000, 2.000000, 0.000000
7, 2.000000, 2.000000, 2.000000, 0.000000
8, 6.000000, 6.000000, 6.000000, 0.000000
9, 0.000000, 0.000000, 0.000000, 0.000000
10, 2.000000, 2.000000, 2.000000, 0.000000
11, 6.000000, 6.000000, 6.000000, 0.000000
12, 4.000000, 4.000000, 4.000000, 0.000000
13, 4.000000, 4.000000, 4.000000, 0.000000
14, 0.000000, 0.000000, 0.000000, 0.000000
15, 2.000000, 2.000000, 2.000000, 0.000000
16, 0.000000, 0.000000, 0.000000, 0.000000
17, 2.000000, 2.000000, 2.000000, 0.000000
18, 4.000000, 4.000000, 4.000000, 0.000000
19, 4.000000, 4.000000, 4.000000, 0.000000
