gemeratopm, max, min, mean, standev
0, 14.000000, 14.000000, 14.000000, 0.000000
1, 13.000000, 13.000000, 13.000000, 0.000000
2, 15.000000, 15.000000, 15.000000, 0.000000
3, 9.000000, 9.000000, 9.000000, 0.000000
4, 6.000000, 6.000000, 6.000000, 0.000000
5, 14.000000, 14.000000, 14.000000, 0.000000
6, 9.000000, 9.000000, 9.000000, 0.000000
7, 14.000000, 14.000000, 14.000000, 0.000000
8, 11.000000, 11.000000, 11.000000, 0.000000
9, 10.000000, 10.000000, 10.000000, 0.000000
10, 13.000000, 13.000000, 13.000000, 0.000000
11, 9.000000, 9.000000, 9.000000, 0.000000
12, 10.000000, 10.000000, 10.000000, 0.000000
13, 12.000000, 12.000000, 12.000000, 0.000000
14, 15.000000, 15.000000, 15.000000, 0.000000
15, 12.000000, 12.000000, 12.000000, 0.000000
16, 12.000000, 12.000000, 12.000000, 0.000000
17, 14.000000, 14.000000, 14.000000, 0.000000
18, 15.000000, 15.000000, 15.000000, 0.000000
19, 12.000000, 12.000000, 12.000000, 0.000000
